scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,eff_run_util_mean,R_cum_p1_mean,R_cum_p2_mean,R_cum_p3_mean,R_cum_p4_mean,R_cum_total_mean,D_cum_p1_mean,D_cum_p2_mean,D_cum_p3_mean,D_cum_p4_mean,D_cum_total_mean,latency_s_p1_mean,latency_s_p2_mean,latency_s_p3_mean,latency_s_p4_mean,latency_s_total_mean
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,19.0023,0.8791,0.7502,0.8791,2643.3199,0.0,0.0,0.0,2643.3199,3.0,,,,3.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,20.0022,0.8739,0.8195,0.8739,3175.3518,0.0,0.0,0.0,3175.3518,3.0,,,,3.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,20.0022,0.7777,0.8001,0.8001,3120.3412,0.0,0.0,0.0,3120.3412,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,20.0025,0.8791,0.7502,0.8791,2840.3595,0.0,0.0,0.0,2840.3595,3.0,,,,3.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,21.0023,0.8828,0.8202,0.8828,3401.3812,0.0,0.0,0.0,3401.3812,4.0,,,,4.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,21.0024,0.7777,0.8001,0.8001,3327.3755,0.0,0.0,0.0,3327.3755,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,21.0026,0.8791,0.7502,0.8791,3037.3837,0.0,0.0,0.0,3037.3837,3.0,,,,3.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,22.0024,0.887,0.8269,0.887,3629.3951,0.0,0.0,0.0,3629.3951,4.0,,,,4.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,22.0025,0.7777,0.8001,0.8001,3534.4066,0.0,0.0,0.0,3534.4066,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,22.0027,0.8791,0.7502,0.8791,3234.4019,0.0,0.0,0.0,3234.4019,3.0,,,,3.0,7.6034,,,,7.6034
