scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,12.0014,0.7928,0.6548,0.7928,0.6548,56.0,41.0,33.0,37.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.7928,0.7928,167.0,6.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,13.0012,0.7828,0.8559,0.7957,0.8926,54.0,53.0,36.0,31.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8559,0.8926,174.0,1.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,13.0014,0.7282,0.7117,0.7282,0.7117,63.0,47.0,56.0,29.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.7282,0.7282,195.0,4.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,13.0015,0.8302,0.6876,0.8364,0.693,60.0,43.0,34.0,39.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.8302,0.8364,176.0,6.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,14.0013,0.7828,0.8559,0.7957,0.8926,54.0,53.0,36.0,31.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8559,0.8926,174.0,1.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,14.0015,0.7618,0.7347,0.7618,0.7347,66.0,50.0,56.0,33.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.7618,0.7618,205.0,4.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,14.0016,0.8599,0.7187,0.8665,0.7318,65.0,43.0,35.0,40.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.8599,0.8665,183.0,6.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,15.0014,0.7847,0.8597,0.7975,0.8963,55.0,53.0,36.0,31.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8597,0.8963,175.0,1.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,15.0017,0.7997,0.7874,0.802,0.7906,70.0,50.0,60.0,34.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.7997,0.802,214.0,6.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,15.0018,0.8752,0.7324,0.8818,0.7456,70.0,43.0,35.0,40.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.8752,0.8818,188.0,6.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,16.0015,0.7898,0.8655,0.8026,0.9021,57.0,53.0,36.0,31.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8655,0.9021,177.0,1.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,16.0018,0.8358,0.8014,0.8616,0.805,68.0,55.0,64.0,34.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,2.0,0.8358,0.8616,221.0,9.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,16.0019,0.8752,0.7324,0.8818,0.7456,70.0,43.0,35.0,40.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.8752,0.8818,188.0,6.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,17.0016,0.7898,0.8655,0.8026,0.9021,57.0,53.0,36.0,31.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8655,0.9021,177.0,1.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,17.0018,0.8573,0.8049,0.8573,0.8049,68.0,55.0,66.0,34.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.8573,0.8573,223.0,10.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,17.002,0.8867,0.7405,0.9139,0.7572,67.0,47.0,36.0,40.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.8867,0.9139,190.0,9.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,18.0017,0.7898,0.8655,0.8026,0.9021,57.0,53.0,36.0,31.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8655,0.9021,177.0,1.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,18.0019,0.8573,0.8049,0.8661,0.8126,68.0,55.0,66.0,34.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.8573,0.8661,223.0,10.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,18.0021,0.9093,0.7678,0.9365,0.7845,71.0,52.0,36.0,40.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.9093,0.9365,199.0,9.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,19.0018,0.7898,0.8655,0.8026,0.9021,57.0,53.0,36.0,31.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8655,0.9021,177.0,1.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,19.0021,0.8573,0.8049,0.8749,0.8142,68.0,55.0,66.0,34.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.8573,0.8749,223.0,10.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,19.0022,0.9057,0.7644,0.9328,0.7811,70.0,52.0,36.0,40.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.9057,0.9328,198.0,12.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,20.0019,0.7898,0.8655,0.8026,0.9021,57.0,53.0,36.0,31.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8655,0.9021,177.0,1.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,20.0021,0.8715,0.8257,0.8891,0.835,73.0,55.0,67.0,34.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.8715,0.8891,229.0,10.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,20.0024,0.908,0.7689,0.9352,0.7856,71.0,52.0,36.0,40.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.908,0.9352,199.0,12.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,21.0022,0.8869,0.8343,0.9045,0.8436,77.0,55.0,67.0,34.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.8869,0.9045,233.0,10.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,21.0025,0.908,0.7689,0.9352,0.7856,71.0,52.0,36.0,40.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.908,0.9352,199.0,12.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,21.0217,0.7898,0.8655,0.8026,0.9021,57.0,53.0,36.0,31.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8655,0.9021,177.0,1.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,22.0024,0.8807,0.8382,0.9016,0.8513,77.0,55.0,67.0,34.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.8807,0.9016,233.0,12.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,22.0026,0.908,0.7689,0.9352,0.7856,71.0,52.0,36.0,40.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.908,0.9352,199.0,12.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,22.0218,0.7898,0.8655,0.8026,0.9021,57.0,53.0,36.0,31.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8655,0.9021,177.0,1.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,23.0025,0.884,0.842,0.9016,0.8513,78.0,55.0,67.0,34.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.884,0.9016,234.0,12.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,23.0027,0.908,0.7689,0.9352,0.7856,71.0,52.0,36.0,40.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.908,0.9352,199.0,12.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,23.0219,0.7898,0.8655,0.8026,0.9021,57.0,53.0,36.0,31.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8655,0.9021,177.0,1.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,24.0026,0.884,0.842,0.9016,0.8513,78.0,55.0,67.0,34.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.884,0.9016,234.0,12.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,24.0028,0.908,0.7689,0.9352,0.7856,71.0,52.0,36.0,40.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.908,0.9352,199.0,12.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,24.0221,0.7898,0.8655,0.8026,0.9021,57.0,53.0,36.0,31.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8655,0.9021,177.0,1.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,25.0027,0.884,0.842,0.9016,0.8513,78.0,55.0,67.0,34.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.884,0.9016,234.0,12.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,25.0029,0.908,0.7689,0.9352,0.7856,71.0,52.0,36.0,40.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.908,0.9352,199.0,12.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,26.0028,0.886,0.8452,0.9036,0.8545,79.0,55.0,67.0,34.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.886,0.9036,235.0,12.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,26.003,0.908,0.7689,0.9352,0.7856,71.0,52.0,36.0,40.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.908,0.9352,199.0,12.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,26.1359,0.7898,0.8655,0.8026,0.9021,57.0,53.0,36.0,31.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8655,0.9021,177.0,1.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,27.003,0.886,0.8452,0.9036,0.8545,79.0,55.0,67.0,34.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.886,0.9036,235.0,12.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,27.0031,0.908,0.7689,0.9352,0.7856,71.0,52.0,36.0,40.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.908,0.9352,199.0,12.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,27.136,0.8026,0.9021,0.8026,0.9021,61.0,53.0,36.0,31.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.9021,0.9021,181.0,5.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,28.003,0.886,0.8452,0.9036,0.8545,79.0,55.0,67.0,34.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.886,0.9036,235.0,12.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,28.0033,0.908,0.7689,0.9352,0.7856,71.0,52.0,36.0,40.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.908,0.9352,199.0,12.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,28.1361,0.8026,0.9021,0.8026,0.9021,61.0,53.0,36.0,31.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.9021,0.9021,181.0,5.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,29.0031,0.886,0.8452,0.9036,0.8545,79.0,55.0,67.0,34.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.886,0.9036,235.0,12.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,29.0034,0.908,0.7689,0.9352,0.7856,71.0,52.0,36.0,40.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.908,0.9352,199.0,12.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,29.1363,0.8026,0.9021,0.8026,0.9021,61.0,53.0,36.0,31.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.9021,0.9021,181.0,5.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,30.0032,0.879,0.8405,0.8966,0.8498,77.0,55.0,67.0,34.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,0.879,0.8966,233.0,14.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,30.0035,0.908,0.7689,0.9352,0.7856,71.0,52.0,36.0,40.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.908,0.9352,199.0,12.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,30.1363,0.8026,0.9021,0.8026,0.9021,61.0,53.0,36.0,31.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.9021,0.9021,181.0,5.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,31.0037,0.908,0.7689,0.9352,0.7856,71.0,52.0,36.0,40.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.908,0.9352,199.0,12.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,31.0625,0.879,0.8405,0.8966,0.8498,77.0,55.0,67.0,34.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,0.879,0.8966,233.0,14.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,31.1364,0.8026,0.9021,0.8026,0.9021,61.0,53.0,36.0,31.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.9021,0.9021,181.0,5.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,32.1337,0.908,0.7689,0.9352,0.7856,71.0,52.0,36.0,40.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.908,0.9352,199.0,12.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,32.1365,0.8026,0.9021,0.8026,0.9021,61.0,53.0,36.0,31.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.9021,0.9021,181.0,5.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,32.2008,0.879,0.8405,0.8966,0.8498,77.0,55.0,67.0,34.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,0.879,0.8966,233.0,14.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,33.1339,0.9352,0.7856,0.9352,0.7856,74.0,52.0,36.0,40.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.9352,0.9352,202.0,16.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,33.1366,0.8026,0.9021,0.8026,0.9021,61.0,53.0,36.0,31.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.9021,0.9021,181.0,5.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,33.2009,0.8966,0.8498,0.8966,0.8498,79.0,55.0,67.0,34.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,0.8966,0.8966,235.0,16.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,34.134,0.9352,0.7856,0.9352,0.7856,74.0,52.0,36.0,40.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.9352,0.9352,202.0,16.0
