scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,14.0026,0.6955,0.6828,0.7394,0.7242,62.0,45.0,54.0,27.0,3.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,14.0151,0.6566,0.5511,0.8663,0.7451,53.0,33.0,25.0,28.0,14.0,10.0,10.0,12.0,2.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,15.0014,0.72,0.7813,0.8026,0.9021,49.0,49.0,31.0,27.0,12.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,15.0027,0.6955,0.6828,0.7799,0.7516,62.0,45.0,54.0,27.0,8.0,5.0,2.0,7.0,0.0,0.0,0.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,15.0152,0.8312,0.6895,0.876,0.7527,59.0,43.0,35.0,40.0,9.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,16.0015,0.717,0.7786,0.7997,0.8994,49.0,48.0,31.0,27.0,12.0,4.0,5.0,4.0,0.0,1.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,16.0028,0.6955,0.6828,0.8242,0.8178,62.0,45.0,54.0,27.0,12.0,8.0,7.0,7.0,0.0,0.0,0.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,16.0215,0.8482,0.7194,0.9094,0.772,65.0,43.0,35.0,40.0,5.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,17.0016,0.7884,0.8847,0.7884,0.8847,58.0,52.0,36.0,31.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,17.0029,0.6923,0.6777,0.8838,0.8302,62.0,44.0,54.0,27.0,13.0,10.0,12.0,7.0,0.0,1.0,0.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,17.0216,0.8482,0.7194,0.911,0.7741,65.0,43.0,35.0,40.0,5.0,8.0,1.0,0.0,4.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,18.0017,0.7884,0.8847,0.7884,0.8847,58.0,52.0,36.0,31.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,18.003,0.6892,0.6682,0.882,0.8241,61.0,44.0,54.0,28.0,14.0,10.0,13.0,6.0,1.0,1.0,0.0,2.0
