scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,unsched_p1_mean,deletions_cum_p1_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5325.4715,0.9278,0.7658,0.9516,0.7764,223.0,3.0,2212.0,0.9278,0.9516,223.0,2212.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5326.4347,0.8726,0.7121,0.8726,0.7121,193.0,0.0,2379.0,0.8726,0.8726,193.0,2379.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5326.4716,0.9278,0.7658,0.9516,0.7764,223.0,3.0,2212.0,0.9278,0.9516,223.0,2212.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5327.3728,0.8975,0.8082,0.9546,0.8402,219.0,6.0,2304.0,0.8975,0.9546,219.0,2304.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5327.4348,0.8659,0.6987,0.8659,0.6987,191.0,0.0,2381.0,0.8659,0.8659,191.0,2381.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5327.9521,0.9278,0.7658,0.9379,0.7702,223.0,1.0,2212.0,0.9278,0.9379,223.0,2212.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5328.3729,0.8975,0.8082,0.9546,0.8402,219.0,6.0,2304.0,0.8975,0.9546,219.0,2304.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5328.4349,0.8659,0.6987,0.8659,0.6987,191.0,0.0,2381.0,0.8659,0.8659,191.0,2381.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5328.9522,0.9278,0.7658,0.9379,0.7702,223.0,1.0,2212.0,0.9278,0.9379,223.0,2212.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5329.373,0.8975,0.8082,0.9546,0.8402,219.0,6.0,2304.0,0.8975,0.9546,219.0,2304.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5329.435,0.8555,0.6952,0.8555,0.6952,189.0,0.0,2383.0,0.8555,0.8555,189.0,2383.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5330.0032,0.9278,0.7658,0.9379,0.7702,223.0,1.0,2212.0,0.9278,0.9379,223.0,2212.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5330.3731,0.8975,0.8082,0.9546,0.8402,219.0,6.0,2304.0,0.8975,0.9546,219.0,2304.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5330.4351,0.8555,0.6952,0.8555,0.6952,189.0,0.0,2383.0,0.8555,0.8555,189.0,2383.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5331.0034,0.9278,0.7658,0.9379,0.7702,223.0,1.0,2212.0,0.9278,0.9379,223.0,2212.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5331.3732,0.8975,0.8082,0.9546,0.8402,219.0,6.0,2304.0,0.8975,0.9546,219.0,2304.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5331.4352,0.8555,0.6952,0.8555,0.6952,189.0,0.0,2383.0,0.8555,0.8555,189.0,2383.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5332.0035,0.9278,0.7658,0.9379,0.7702,223.0,1.0,2212.0,0.9278,0.9379,223.0,2212.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5332.3732,0.8975,0.8082,0.9546,0.8402,219.0,6.0,2304.0,0.8975,0.9546,219.0,2304.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5332.4353,0.8555,0.6952,0.8555,0.6952,189.0,0.0,2383.0,0.8555,0.8555,189.0,2383.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5333.0036,0.9278,0.7658,0.9379,0.7702,223.0,1.0,2212.0,0.9278,0.9379,223.0,2212.0
