scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,19.0472,0.8445,0.7667,0.9352,0.7856,72.0,49.0,36.0,38.0,2.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,20.0021,0.8408,0.792,0.8891,0.8369,76.0,55.0,60.0,34.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,20.0473,0.8445,0.7667,0.9352,0.7856,72.0,49.0,36.0,38.0,2.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,20.4395,0.777,0.8606,0.8026,0.9021,58.0,52.0,36.0,31.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,21.0023,0.8565,0.8048,0.9048,0.8497,80.0,55.0,61.0,34.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,21.0474,0.8445,0.7667,0.9352,0.7856,72.0,49.0,36.0,38.0,2.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,21.4396,0.7999,0.8957,0.8026,0.9021,60.0,53.0,36.0,31.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,22.0024,0.8533,0.8064,0.9016,0.8513,80.0,55.0,61.0,34.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,2.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,22.0475,0.8445,0.7667,0.9352,0.7856,72.0,49.0,36.0,38.0,2.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,22.4398,0.7999,0.8957,0.8026,0.9021,60.0,53.0,36.0,31.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,23.0025,0.8533,0.8064,0.9016,0.8513,80.0,55.0,61.0,34.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,2.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,23.0476,0.8445,0.7667,0.9352,0.7856,72.0,49.0,36.0,38.0,2.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,23.4399,0.7999,0.8957,0.8026,0.9021,60.0,53.0,36.0,31.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,24.0026,0.8533,0.8064,0.9016,0.8513,80.0,55.0,61.0,34.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,2.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,24.0477,0.8445,0.7667,0.9352,0.7856,72.0,49.0,36.0,38.0,2.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0
