scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,unsched_p1_mean,deletions_cum_p1_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,555.3811,0.7453,0.8226,0.7453,0.8226,99.0,0.0,32.0,0.8226,0.8226,99.0,32.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,555.4263,0.9392,0.7817,1.0381,0.8022,111.0,4.0,90.0,0.9392,1.0381,111.0,90.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,556.36,0.8847,0.8523,0.8847,0.8523,118.0,0.0,68.0,0.8847,0.8847,118.0,68.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,556.3812,0.7453,0.8226,0.7453,0.8226,99.0,0.0,32.0,0.8226,0.8226,99.0,32.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,556.6556,0.9392,0.7817,1.0381,0.8022,111.0,4.0,90.0,0.9392,1.0381,111.0,90.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,557.3601,0.8847,0.8523,0.8847,0.8523,118.0,0.0,68.0,0.8847,0.8847,118.0,68.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,557.3813,0.7453,0.8226,0.7453,0.8226,99.0,0.0,32.0,0.8226,0.8226,99.0,32.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,558.1312,0.9392,0.7817,1.0381,0.8022,111.0,4.0,90.0,0.9392,1.0381,111.0,90.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,558.3602,0.8847,0.8523,0.8847,0.8523,118.0,0.0,68.0,0.8847,0.8847,118.0,68.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,558.3814,0.7453,0.8226,0.7453,0.8226,99.0,0.0,32.0,0.8226,0.8226,99.0,32.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,559.2765,0.9392,0.7817,1.0236,0.7988,111.0,3.0,90.0,0.9392,1.0236,111.0,90.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,559.3603,0.8847,0.8523,0.8847,0.8523,118.0,0.0,68.0,0.8847,0.8847,118.0,68.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,559.3816,0.7453,0.8226,0.7453,0.8226,99.0,0.0,32.0,0.8226,0.8226,99.0,32.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,560.3238,0.9392,0.7817,1.0236,0.7988,111.0,3.0,90.0,0.9392,1.0236,111.0,90.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,560.3604,0.8847,0.8523,0.8847,0.8523,118.0,0.0,68.0,0.8847,0.8847,118.0,68.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,560.3817,0.7453,0.8226,0.7453,0.8226,99.0,0.0,32.0,0.8226,0.8226,99.0,32.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,561.3605,0.8847,0.8523,0.8847,0.8523,118.0,0.0,68.0,0.8847,0.8847,118.0,68.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,561.3817,0.7453,0.8226,0.7453,0.8226,99.0,0.0,32.0,0.8226,0.8226,99.0,32.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,562.1374,0.9392,0.7817,1.0236,0.7988,111.0,3.0,90.0,0.9392,1.0236,111.0,90.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,562.3606,0.8847,0.8523,0.8847,0.8523,118.0,0.0,68.0,0.8847,0.8847,118.0,68.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,562.3818,0.7453,0.8226,0.7453,0.8226,99.0,0.0,32.0,0.8226,0.8226,99.0,32.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,563.3607,0.8847,0.8523,0.8847,0.8523,118.0,0.0,68.0,0.8847,0.8847,118.0,68.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,563.382,0.7453,0.8226,0.7453,0.8226,99.0,0.0,32.0,0.8226,0.8226,99.0,32.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,563.7885,0.9392,0.7817,1.0236,0.7988,111.0,3.0,90.0,0.9392,1.0236,111.0,90.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,564.3607,0.8847,0.8523,0.8847,0.8523,118.0,0.0,68.0,0.8847,0.8847,118.0,68.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,564.3821,0.7453,0.8226,0.7453,0.8226,99.0,0.0,32.0,0.8226,0.8226,99.0,32.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,564.7887,0.9392,0.7817,1.0236,0.7988,111.0,3.0,90.0,0.9392,1.0236,111.0,90.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,565.3608,0.8847,0.8523,0.8847,0.8523,118.0,0.0,68.0,0.8847,0.8847,118.0,68.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,565.3823,0.7453,0.8226,0.7453,0.8226,99.0,0.0,32.0,0.8226,0.8226,99.0,32.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,565.7888,0.9392,0.7817,1.0236,0.7988,111.0,3.0,90.0,0.9392,1.0236,111.0,90.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,566.3609,0.8847,0.8523,0.8847,0.8523,118.0,0.0,68.0,0.8847,0.8847,118.0,68.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,566.3824,0.7453,0.8226,0.7453,0.8226,99.0,0.0,32.0,0.8226,0.8226,99.0,32.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,567.032,0.9392,0.7817,1.0236,0.7988,111.0,3.0,90.0,0.9392,1.0236,111.0,90.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,567.3611,0.8847,0.8523,0.8847,0.8523,118.0,0.0,68.0,0.8847,0.8847,118.0,68.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,567.3825,0.7453,0.8226,0.7453,0.8226,99.0,0.0,32.0,0.8226,0.8226,99.0,32.0
