scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,12.0012,0.7484,0.6666,0.8031,0.6784,61.0,38.0,33.0,35.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,13.0012,0.7453,0.6995,0.7497,0.73,66.0,48.0,54.0,32.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,13.0013,0.7629,0.8375,0.774,0.8715,51.0,53.0,36.0,31.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,13.0013,0.7968,0.7042,0.8579,0.7186,65.0,41.0,35.0,37.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,14.0013,0.7788,0.725,0.7869,0.7676,71.0,50.0,54.0,34.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,14.0014,0.7835,0.8547,0.7975,0.8963,55.0,53.0,36.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,14.0014,0.8226,0.7395,0.8772,0.7513,69.0,41.0,35.0,38.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,15.0013,0.8156,0.7515,0.8342,0.821,75.0,52.0,57.0,34.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,15.0015,0.7887,0.8605,0.8026,0.9021,57.0,53.0,36.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,15.0015,0.8462,0.7586,0.9215,0.774,69.0,47.0,36.0,38.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,16.0014,0.8329,0.763,0.8871,0.8352,75.0,55.0,58.0,34.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,16.0016,0.7857,0.8578,0.7997,0.8994,57.0,52.0,36.0,31.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,16.0016,0.8516,0.7644,0.9269,0.7798,70.0,49.0,36.0,38.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,17.0015,0.8354,0.7655,0.8915,0.8416,77.0,54.0,59.0,34.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,17.0017,0.7886,0.8655,0.7997,0.8994,58.0,52.0,36.0,31.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,17.0017,0.8516,0.7644,0.9269,0.7798,70.0,49.0,36.0,38.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,18.0016,0.8373,0.7694,0.8915,0.8416,78.0,54.0,59.0,34.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,18.0017,0.7886,0.8655,0.7997,0.8994,58.0,52.0,36.0,31.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,18.0018,0.8516,0.7644,0.9269,0.7798,70.0,49.0,36.0,38.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,19.0017,0.8354,0.7655,0.8895,0.8377,77.0,54.0,59.0,34.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,2.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,19.0019,0.8516,0.7644,0.9269,0.7798,70.0,49.0,36.0,38.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,19.0019,0.7886,0.8655,0.7997,0.8994,58.0,52.0,36.0,31.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,20.0017,0.8354,0.7655,0.8895,0.8377,77.0,54.0,59.0,34.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,2.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,20.002,0.8421,0.761,0.9271,0.7865,70.0,49.0,35.0,38.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,20.0021,0.7886,0.8655,0.7997,0.8994,58.0,52.0,36.0,31.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,21.0019,0.8354,0.7655,0.8507,0.8323,77.0,54.0,59.0,34.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,2.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,21.0021,0.8502,0.7782,0.9352,0.8037,70.0,50.0,38.0,38.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,21.0022,0.7886,0.8655,0.7997,0.8994,58.0,52.0,36.0,31.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,22.0019,0.85,0.7865,0.8653,0.8534,80.0,55.0,59.0,36.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,2.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,22.0022,0.8502,0.7782,0.9352,0.8037,70.0,50.0,38.0,38.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,22.0023,0.7886,0.8655,0.7997,0.8994,58.0,52.0,36.0,31.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,23.002,0.8451,0.7847,0.8605,0.8515,80.0,54.0,59.0,36.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,2.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,23.0023,0.7886,0.8655,0.7997,0.8994,58.0,52.0,36.0,31.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,23.0023,0.8523,0.7782,0.9276,0.7936,69.0,50.0,38.0,39.0,2.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,24.0022,0.8451,0.7847,0.8605,0.8515,80.0,54.0,59.0,36.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,2.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,24.0024,0.8582,0.8025,0.9353,0.8309,72.0,50.0,38.0,39.0,3.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0
