scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,eff_run_util_mean,R_cum_p1_mean,R_cum_p2_mean,R_cum_p3_mean,R_cum_p4_mean,R_cum_total_mean,D_cum_p1_mean,D_cum_p2_mean,D_cum_p3_mean,D_cum_p4_mean,D_cum_total_mean,latency_s_p1_mean,latency_s_p2_mean,latency_s_p3_mean,latency_s_p4_mean,latency_s_total_mean
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,11.0144,0.663,0.555,0.663,458.7739,266.4634,215.3525,196.3898,1136.9796,0.0,0.0,0.0,0.0,0.0,3.1992,3.1295,2.2323,2.1362,2.7714
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,12.0011,0.72,0.7813,0.7813,449.0405,403.0364,213.0192,233.0209,1298.117,0.0,0.0,0.0,0.0,0.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,12.0024,0.6637,0.6494,0.6637,424.0964,396.0913,421.1013,226.0508,1467.3397,0.0,0.0,0.0,2.0,2.0,6.6613,5.581,3.2909,3.0644,4.8814
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,12.0149,0.6566,0.5511,0.6566,511.8008,299.4802,240.3652,224.4041,1276.0503,2.0,0.0,0.0,0.0,2.0,3.1992,3.1295,2.2323,2.1362,2.7714
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,13.0012,0.72,0.7813,0.7813,498.0444,452.0402,244.0216,260.023,1454.1291,0.0,0.0,0.0,0.0,0.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,13.0025,0.6955,0.6828,0.6955,486.1011,441.0947,475.1054,253.0528,1655.354,0.0,0.0,0.0,2.0,2.0,6.6613,5.581,3.2909,3.0644,4.8814
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,13.015,0.6566,0.5511,0.6566,564.8048,332.4827,265.3671,252.4062,1415.0608,2.0,0.0,0.0,0.0,2.0,3.1992,3.1295,2.2323,2.1362,2.7714
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,14.0013,0.72,0.7813,0.7813,547.0511,501.0469,275.0258,287.0267,1610.1505,0.0,0.0,0.0,0.0,0.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,14.0026,0.6955,0.6828,0.6955,548.1072,486.0991,529.1107,280.0555,1843.3724,0.0,0.0,0.0,2.0,2.0,6.6613,5.581,3.2909,3.0644,4.8814
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,14.0151,0.6566,0.5511,0.6566,617.8104,365.4861,290.3697,280.4091,1554.0754,2.0,0.0,0.0,0.0,2.0,3.1992,3.1295,2.2323,2.1362,2.7714
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,15.0014,0.72,0.7813,0.7813,596.0557,550.0516,306.0288,314.0293,1766.1653,0.0,0.0,0.0,0.0,0.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,15.0027,0.6955,0.6828,0.6955,610.1126,531.103,583.1154,307.0578,2031.3888,0.0,0.0,0.0,2.0,2.0,6.6613,5.581,3.2909,3.0644,4.8814
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,15.0152,0.8312,0.6895,0.8312,676.8162,408.4904,325.3732,320.4131,1731.0929,4.0,0.0,0.0,0.0,4.0,3.1992,3.1295,2.2323,2.1362,2.7714
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,16.0015,0.717,0.7786,0.7786,645.0587,598.0545,337.0307,341.0309,1921.1748,0.0,1.0,0.0,0.0,1.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,16.0028,0.6955,0.6828,0.6955,672.1195,576.108,637.1214,334.0608,2219.4097,0.0,0.0,0.0,2.0,2.0,6.6613,5.581,3.2909,3.0644,4.8814
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,16.0215,0.8482,0.7194,0.8482,742.2305,451.7645,360.5963,360.668,1915.2593,4.0,0.0,0.0,0.0,4.0,3.1992,3.1295,2.2323,2.1362,2.7714
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,17.0016,0.7884,0.8847,0.8847,703.0664,650.0613,373.0354,372.035,2098.1982,3.0,1.0,0.0,0.0,4.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,17.0029,0.6923,0.6777,0.6923,734.1235,620.1109,691.1249,361.0626,2406.422,0.0,1.0,0.0,2.0,3.0,6.6613,5.581,3.2909,3.0644,4.8814
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,17.0216,0.8482,0.7194,0.8482,807.2355,494.7677,395.599,400.6711,2098.2732,4.0,0.0,0.0,0.0,4.0,3.1992,3.1295,2.2323,2.1362,2.7714
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,18.0017,0.7884,0.8847,0.8847,761.0712,702.0657,409.0384,403.0376,2275.2128,3.0,1.0,0.0,0.0,4.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,18.003,0.6892,0.6682,0.6892,795.1296,664.1153,745.1303,389.0654,2593.4407,1.0,1.0,0.0,2.0,4.0,6.6613,5.581,3.2909,3.0644,4.8814
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,18.0217,0.8482,0.7194,0.8482,872.2412,537.7715,430.602,440.6746,2281.2893,4.0,0.0,0.0,0.0,4.0,3.1992,3.1295,2.2323,2.1362,2.7714
