scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,14.0645,0.9483,0.7977,1.0089,0.8252,40.0,28.0,19.0,16.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9483,1.0089,103.0,1.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,15.0013,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.848,0.848,68.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,15.0018,0.8242,0.8805,0.8242,0.8805,30.0,28.0,33.0,19.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.8805,0.8805,110.0,5.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,15.0646,0.9547,0.8097,1.056,0.848,42.0,28.0,19.0,16.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.9547,1.056,105.0,1.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,16.0015,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.848,0.848,68.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,16.0019,0.8242,0.8805,0.8242,0.8805,30.0,28.0,33.0,19.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.8805,0.8805,110.0,5.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,16.0647,0.9502,0.8064,1.0516,0.8447,41.0,28.0,19.0,16.0,2.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.9502,1.0516,104.0,2.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,17.0015,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.848,0.848,68.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,17.002,0.8242,0.8805,0.8242,0.8805,30.0,28.0,33.0,19.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.8805,0.8805,110.0,5.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,17.0652,0.9476,0.8048,1.0082,0.8323,39.0,29.0,19.0,16.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.9476,1.0082,103.0,4.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,18.0016,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.848,0.848,68.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,18.0022,0.8242,0.8805,0.8242,0.8805,30.0,28.0,33.0,19.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.8805,0.8805,110.0,5.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,18.0653,0.9476,0.8048,1.0082,0.8323,39.0,29.0,19.0,16.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.9476,1.0082,103.0,4.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,19.0017,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.848,0.848,68.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,19.0023,0.8242,0.8805,0.8242,0.8805,30.0,28.0,33.0,19.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.8805,0.8805,110.0,5.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,19.0654,0.9476,0.8048,1.0082,0.8323,39.0,29.0,19.0,16.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.9476,1.0082,103.0,4.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,20.0018,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.848,0.848,68.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,20.0024,0.8494,0.9123,0.8804,0.9427,32.0,29.0,33.0,21.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.9123,0.9427,115.0,5.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,20.0655,0.9476,0.8048,0.9888,0.812,39.0,29.0,19.0,16.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.9476,0.9888,103.0,4.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,21.0019,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.848,0.848,68.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,21.0025,0.8494,0.9123,0.8804,0.9427,32.0,29.0,33.0,21.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.9123,0.9427,115.0,5.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,21.0656,0.9448,0.8209,0.986,0.828,39.0,27.0,22.0,16.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.9448,0.986,104.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,22.002,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.848,0.848,68.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,22.0026,0.8494,0.9123,0.8534,0.9226,32.0,29.0,33.0,21.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.9123,0.9226,115.0,5.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,22.0657,0.9352,0.8085,0.9764,0.8156,39.0,24.0,22.0,16.0,2.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.9352,0.9764,101.0,9.0
