util,nodes,pods,pods_per_node,priorities,timeout_s,config_dir,n_seeds,n_seeds_not_all_running,n_default_all_running,default_all_running_rate,n_solver_called,solver_called_rate,n_solver_failed,solver_failed_rate,n_default_optimal,default_optimal_rate,n_solver_optimal,solver_optimal_rate,n_solver_feasible,solver_feasible_rate,n_solver_improve,solver_improve_rate,n_other,other_rate,solver_duration_ms_sum,solver_duration_ms_mean,cpu_delta_sum,mem_delta_sum,cpu_delta_mean,mem_delta_mean
90.0,32,128,4,2,10,nodes32_pods128_prio2_util090_timeout10,100,100,0,0.0000,48,0.4800,52,0.5200,2,0.0200,18,0.1800,28,0.2800,46,0.4600,0,0.0000,375474.0,7822.375,0.839,0.919,0.0084,0.0092
95.0,4,16,4,1,1,nodes4_pods16_prio1_util095_timeout01,100,98,2,0.0200,71,0.7100,27,0.2700,0,0.0000,45,0.4500,26,0.2600,71,0.7100,0,0.0000,43172.0,608.0563,6.774,6.118,0.0691,0.0624
95.0,4,16,4,1,10,nodes4_pods16_prio1_util095_timeout10,100,98,2,0.0200,74,0.7400,24,0.2400,0,0.0000,54,0.5400,20,0.2000,74,0.7400,0,0.0000,201146.0,2718.1892,7.671,7.464,0.0783,0.0762
95.0,4,16,4,1,20,nodes4_pods16_prio1_util095_timeout20,100,98,2,0.0200,80,0.8000,18,0.1800,0,0.0000,61,0.6100,19,0.1900,80,0.8000,0,0.0000,344313.0,4303.9125,8.035,7.401,0.082,0.0755
95.0,4,16,4,2,1,nodes4_pods16_prio2_util095_timeout01,100,98,2,0.0200,76,0.7600,26,0.2600,19,0.1900,48,0.4800,5,0.0500,53,0.5300,0,0.0000,21268.0,279.8421,3.75,3.554,0.0383,0.0363
95.0,4,16,4,2,10,nodes4_pods16_prio2_util095_timeout10,100,98,2,0.0200,78,0.7800,22,0.2200,23,0.2300,52,0.5200,1,0.0100,53,0.5300,0,0.0000,44149.0,566.0128,3.756,3.617,0.0383,0.0369
95.0,4,16,4,2,20,nodes4_pods16_prio2_util095_timeout20,100,98,2,0.0200,82,0.8200,18,0.1800,23,0.2300,56,0.5600,1,0.0100,57,0.5700,0,0.0000,58832.0,717.4634,3.874,3.869,0.0395,0.0395
95.0,4,16,4,4,1,nodes4_pods16_prio4_util095_timeout01,100,98,2,0.0200,87,0.8700,13,0.1300,49,0.4900,35,0.3500,1,0.0100,36,0.3600,0,0.0000,17726.0,203.7471,1.973,1.928,0.0201,0.0197
95.0,4,16,4,4,10,nodes4_pods16_prio4_util095_timeout10,100,98,2,0.0200,87,0.8700,14,0.1400,48,0.4800,36,0.3600,0,0.0000,36,0.3600,0,0.0000,18167.0,208.8161,1.91,2.083,0.0195,0.0213
95.0,4,16,4,4,20,nodes4_pods16_prio4_util095_timeout20,100,98,2,0.0200,85,0.8500,15,0.1500,48,0.4800,35,0.3500,0,0.0000,35,0.3500,0,0.0000,19771.0,232.6,1.927,2.126,0.0197,0.0217
95.0,4,32,8,1,1,nodes4_pods32_prio1_util095_timeout01,100,84,16,0.1600,82,0.8200,2,0.0200,0,0.0000,80,0.8000,2,0.0200,82,0.8200,0,0.0000,21530.0,262.561,3.581,3.97,0.0426,0.0473
95.0,4,32,8,1,10,nodes4_pods32_prio1_util095_timeout10,100,85,15,0.1500,83,0.8300,2,0.0200,1,0.0100,82,0.8200,0,0.0000,82,0.8200,0,0.0000,24604.0,296.4337,3.62,4.015,0.0426,0.0472
95.0,4,32,8,1,20,nodes4_pods32_prio1_util095_timeout20,100,84,16,0.1600,82,0.8200,2,0.0200,0,0.0000,82,0.8200,0,0.0000,82,0.8200,0,0.0000,21694.0,264.561,3.62,4.015,0.0431,0.0478
95.0,4,32,8,2,1,nodes4_pods32_prio2_util095_timeout01,100,85,15,0.1500,83,0.8300,2,0.0200,8,0.0800,74,0.7400,1,0.0100,75,0.7500,0,0.0000,22035.0,265.4819,3.143,3.056,0.037,0.036
95.0,4,32,8,2,10,nodes4_pods32_prio2_util095_timeout10,100,83,17,0.1700,81,0.8100,2,0.0200,6,0.0600,75,0.7500,0,0.0000,75,0.7500,0,0.0000,21431.0,264.5802,3.199,3.075,0.0385,0.037
95.0,4,32,8,2,20,nodes4_pods32_prio2_util095_timeout20,100,85,15,0.1500,82,0.8200,3,0.0300,8,0.0800,74,0.7400,0,0.0000,74,0.7400,0,0.0000,23633.0,288.2073,3.215,3.122,0.0378,0.0367
95.0,4,32,8,4,1,nodes4_pods32_prio4_util095_timeout01,100,85,15,0.1500,78,0.7800,12,0.1200,23,0.2300,50,0.5000,0,0.0000,50,0.5000,0,0.0000,19645.0,251.859,1.875,1.839,0.0221,0.0216
95.0,4,32,8,4,10,nodes4_pods32_prio4_util095_timeout10,100,84,16,0.1600,77,0.7700,10,0.1000,25,0.2500,49,0.4900,0,0.0000,49,0.4900,0,0.0000,23994.0,311.6104,1.692,1.731,0.0201,0.0206
95.0,4,32,8,4,20,nodes4_pods32_prio4_util095_timeout20,100,84,16,0.1600,76,0.7600,11,0.1100,24,0.2400,49,0.4900,0,0.0000,49,0.4900,0,0.0000,31024.0,408.2105,1.9,1.853,0.0226,0.0221
95.0,8,32,4,1,1,nodes8_pods32_prio1_util095_timeout01,100,100,0,0.0000,52,0.5200,50,0.5000,0,0.0000,9,0.0900,41,0.4100,50,0.5000,0,0.0000,42507.0,817.4423,3.017,2.96,0.0302,0.0296
95.0,8,32,4,1,10,nodes8_pods32_prio1_util095_timeout10,100,100,0,0.0000,85,0.8500,15,0.1500,0,0.0000,37,0.3700,48,0.4800,85,0.8500,0,0.0000,541859.0,6374.8118,6.951,6.933,0.0695,0.0693
95.0,8,32,4,1,20,nodes8_pods32_prio1_util095_timeout20,100,100,0,0.0000,89,0.8900,13,0.1300,0,0.0000,42,0.4200,45,0.4500,87,0.8700,0,0.0000,1002154.0,11260.1573,7.778,7.468,0.0778,0.0747
95.0,8,32,4,2,1,nodes8_pods32_prio2_util095_timeout01,100,100,0,0.0000,72,0.7200,32,0.3200,18,0.1800,37,0.3700,13,0.1300,50,0.5000,0,0.0000,35791.0,497.0972,1.987,1.889,0.0199,0.0189
95.0,8,32,4,2,10,nodes8_pods32_prio2_util095_timeout10,100,100,0,0.0000,90,0.9000,14,0.1400,13,0.1300,52,0.5200,21,0.2100,73,0.7300,0,0.0000,254911.0,2832.3444,4.046,3.625,0.0405,0.0363
95.0,8,32,4,2,20,nodes8_pods32_prio2_util095_timeout20,100,100,0,0.0000,87,0.8700,14,0.1400,15,0.1500,52,0.5200,19,0.1900,71,0.7100,0,0.0000,406319.0,4670.3333,3.808,3.777,0.0381,0.0378
95.0,8,32,4,4,1,nodes8_pods32_prio4_util095_timeout01,100,100,0,0.0000,81,0.8100,21,0.2100,25,0.2500,50,0.5000,4,0.0400,54,0.5400,0,0.0000,26599.0,328.3827,1.28,1.374,0.0128,0.0137
95.0,8,32,4,4,10,nodes8_pods32_prio4_util095_timeout10,100,100,0,0.0000,92,0.9200,12,0.1200,24,0.2400,62,0.6200,2,0.0200,64,0.6400,0,0.0000,56555.0,614.7283,2.432,2.514,0.0243,0.0251
95.0,8,32,4,4,20,nodes8_pods32_prio4_util095_timeout20,100,100,0,0.0000,84,0.8400,19,0.1900,23,0.2300,57,0.5700,1,0.0100,58,0.5800,0,0.0000,57837.0,688.5357,1.764,1.537,0.0176,0.0154
95.0,8,64,8,1,1,nodes8_pods64_prio1_util095_timeout01,100,100,0,0.0000,73,0.7300,29,0.2900,1,0.0100,22,0.2200,48,0.4800,70,0.7000,0,0.0000,61299.0,839.7123,2.543,2.141,0.0254,0.0214
95.0,8,64,8,1,10,nodes8_pods64_prio1_util095_timeout10,100,99,1,0.0100,99,0.9900,0,0.0000,1,0.0100,96,0.9600,2,0.0200,98,0.9800,0,0.0000,199685.0,2017.0202,4.038,3.59,0.0408,0.0363
95.0,8,64,8,1,20,nodes8_pods64_prio1_util095_timeout20,100,99,1,0.0100,98,0.9800,1,0.0100,1,0.0100,97,0.9700,0,0.0000,97,0.9700,0,0.0000,175076.0,1786.4898,3.999,3.549,0.0404,0.0358
95.0,8,64,8,2,1,nodes8_pods64_prio2_util095_timeout01,100,99,1,0.0100,83,0.8300,25,0.2500,3,0.0300,41,0.4100,30,0.3000,71,0.7100,0,0.0000,56477.0,680.4458,2.2,2.01,0.0222,0.0203
95.0,8,64,8,2,10,nodes8_pods64_prio2_util095_timeout10,100,98,2,0.0200,95,0.9500,4,0.0400,6,0.0600,86,0.8600,2,0.0200,88,0.8800,0,0.0000,149798.0,1576.8211,3.167,2.851,0.0323,0.0291
95.0,8,64,8,2,20,nodes8_pods64_prio2_util095_timeout20,100,100,0,0.0000,95,0.9500,5,0.0500,7,0.0700,85,0.8500,3,0.0300,88,0.8800,0,0.0000,189194.0,1991.5158,3.094,2.879,0.0309,0.0288
95.0,8,64,8,4,1,nodes8_pods64_prio4_util095_timeout01,100,99,1,0.0100,83,0.8300,24,0.2400,10,0.1000,49,0.4900,16,0.1600,65,0.6500,0,0.0000,46926.0,565.3735,1.546,1.515,0.0156,0.0153
95.0,8,64,8,4,10,nodes8_pods64_prio4_util095_timeout10,100,100,0,0.0000,91,0.9100,15,0.1500,11,0.1100,72,0.7200,2,0.0200,74,0.7400,0,0.0000,89824.0,987.0769,2.076,2.031,0.0208,0.0203
95.0,8,64,8,4,20,nodes8_pods64_prio4_util095_timeout20,100,99,1,0.0100,92,0.9200,9,0.0900,12,0.1200,77,0.7700,1,0.0100,78,0.7800,0,0.0000,115578.0,1256.2826,2.127,2.181,0.0215,0.022
95.0,16,64,4,1,1,nodes16_pods64_prio1_util095_timeout01,100,100,0,0.0000,22,0.2200,80,0.8000,0,0.0000,0,0.0000,20,0.2000,20,0.2000,0,0.0000,21048.0,956.7273,0.743,0.831,0.0074,0.0083
95.0,16,64,4,1,10,nodes16_pods64_prio1_util095_timeout10,100,100,0,0.0000,61,0.6100,42,0.4200,0,0.0000,0,0.0000,58,0.5800,58,0.5800,0,0.0000,599326.0,9825.0164,3.791,3.669,0.0379,0.0367
95.0,16,64,4,1,20,nodes16_pods64_prio1_util095_timeout20,100,100,0,0.0000,90,0.9000,14,0.1400,0,0.0000,3,0.0300,83,0.8300,86,0.8600,0,0.0000,1747097.0,19412.1889,6.147,5.81,0.0615,0.0581
95.0,16,64,4,2,1,nodes16_pods64_prio2_util095_timeout01,100,100,0,0.0000,39,0.3900,71,0.7100,2,0.0200,7,0.0700,20,0.2000,27,0.2700,0,0.0000,33328.0,854.5641,-0.754,-0.718,-0.0075,-0.0072
95.0,16,64,4,2,10,nodes16_pods64_prio2_util095_timeout10,100,100,0,0.0000,62,0.6200,39,0.3900,3,0.0300,20,0.2000,38,0.3800,58,0.5800,0,0.0000,417666.0,6736.5484,2.099,1.945,0.021,0.0195
95.0,16,64,4,2,20,nodes16_pods64_prio2_util095_timeout20,100,100,0,0.0000,71,0.7100,32,0.3200,7,0.0700,21,0.2100,40,0.4000,61,0.6100,0,0.0000,817324.0,11511.6056,2.485,2.448,0.0249,0.0245
95.0,16,64,4,4,1,nodes16_pods64_prio4_util095_timeout01,100,100,0,0.0000,55,0.5500,51,0.5100,11,0.1100,31,0.3100,7,0.0700,38,0.3800,0,0.0000,36265.0,659.3636,-0.563,0.144,-0.0056,0.0014
95.0,16,64,4,4,10,nodes16_pods64_prio4_util095_timeout10,100,100,0,0.0000,77,0.7700,26,0.2600,11,0.1100,53,0.5300,10,0.1000,63,0.6300,0,0.0000,167464.0,2174.8571,1.093,1.493,0.0109,0.0149
95.0,16,64,4,4,20,nodes16_pods64_prio4_util095_timeout20,100,100,0,0.0000,81,0.8100,21,0.2100,9,0.0900,59,0.5900,11,0.1100,70,0.7000,0,0.0000,289289.0,3571.4691,1.418,2.127,0.0142,0.0213
95.0,16,128,8,1,1,nodes16_pods128_prio1_util095_timeout01,100,100,0,0.0000,19,0.1900,83,0.8300,0,0.0000,0,0.0000,17,0.1700,17,0.1700,0,0.0000,18580.0,977.8947,0.294,0.207,0.0029,0.0021
95.0,16,128,8,1,10,nodes16_pods128_prio1_util095_timeout10,100,100,0,0.0000,93,0.9300,8,0.0800,0,0.0000,11,0.1100,81,0.8100,92,0.9200,0,0.0000,875380.0,9412.6882,3.255,3.147,0.0325,0.0315
95.0,16,128,8,1,20,nodes16_pods128_prio1_util095_timeout20,100,100,0,0.0000,99,0.9900,2,0.0200,0,0.0000,36,0.3600,62,0.6200,98,0.9800,0,0.0000,1609598.0,16258.5657,3.696,3.667,0.037,0.0367
95.0,16,128,8,2,1,nodes16_pods128_prio2_util095_timeout01,100,100,0,0.0000,55,0.5500,58,0.5800,0,0.0000,1,0.0100,41,0.4100,42,0.4200,0,0.0000,52128.0,947.7818,0.041,0.156,0.0004,0.0016
