util,nodes,pods,pods_per_node,priorities,timeout_s,config_dir,n_seeds,n_seeds_not_all_running,n_default_all_running,default_all_running_rate,n_solver_called,solver_called_rate,n_solver_failed,solver_failed_rate,n_default_optimal,default_optimal_rate,n_solver_optimal,solver_optimal_rate,n_solver_feasible,solver_feasible_rate,n_solver_improve,solver_improve_rate,n_other,other_rate,solver_duration_ms_sum,solver_duration_ms_mean,cpu_delta_sum,mem_delta_sum,cpu_delta_mean,mem_delta_mean,default_all_running_rate_std,solver_called_rate_std,solver_failed_rate_std,default_optimal_rate_std,solver_optimal_rate_std,solver_feasible_rate_std,other_rate_std,solver_duration_ms_mean_std,cpu_delta_mean_std,mem_delta_mean_std
100.0,8,64,8,1,20,nodes8_pods64_prio1_util100_timeout20,100,100,0,0.0000,100,1.0000,0,0.0000,0,0.0000,0,0.0000,100,1.0000,100,1.0000,0,0.0000,2044100.0,20441.0,5.776,5.592,0.0578,0.0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1118.935776855523,0.027086140180893063,0.02299656540012051
100.0,8,64,8,2,1,nodes8_pods64_prio2_util100_timeout01,100,100,0,0.0000,100,1.0000,11,0.1100,0,0.0000,1,0.0100,88,0.8800,89,0.8900,0,0.0000,180936.0,1809.36,4.504,4.265,0.045,0.0426,0.0,0.0,0.31446603773522014,0.0,0.09999999999999999,0.32659863237109044,0.0,117.26353984840206,0.029662723605852023,0.02607346846078897
100.0,8,64,8,2,10,nodes8_pods64_prio2_util100_timeout10,100,100,0,0.0000,100,1.0000,4,0.0400,0,0.0000,8,0.0800,88,0.8800,96,0.9600,0,0.0000,1012421.0,10124.21,5.136,4.793,0.0514,0.0479,0.0,0.0,0.1969463855669324,0.0,0.2726599243442907,0.3265986323710904,0.0,1874.0198423698614,0.025752324598416775,0.022737525162274147
100.0,8,64,8,2,20,nodes8_pods64_prio2_util100_timeout20,100,100,0,0.0000,100,1.0000,1,0.0100,0,0.0000,19,0.1900,80,0.8000,99,0.9900,0,0.0000,1860964.0,18609.64,5.265,4.998,0.0526,0.05,0.0,0.0,0.09999999999999999,0.0,0.3942772444036625,0.40201512610368484,0.0,4927.672629736941,0.02497812173996606,0.020423288351064002
100.0,8,64,8,4,1,nodes8_pods64_prio4_util100_timeout01,100,100,0,0.0000,100,1.0000,7,0.0700,6,0.0600,25,0.2500,62,0.6200,87,0.8700,0,0.0000,157453.0,1574.53,2.723,2.51,0.0272,0.0251,0.0,0.0,0.2564323999762428,0.238683256575942,0.4351941398892446,0.4878317312145634,0.0,286.4054290651276,0.022618868944384276,0.025419907890700866
100.0,8,64,8,4,10,nodes8_pods64_prio4_util100_timeout10,100,100,0,0.0000,100,1.0000,2,0.0200,4,0.0400,62,0.6200,32,0.3200,94,0.9400,0,0.0000,501078.0,5010.78,3.26,3.103,0.0326,0.031,0.0,0.0,0.14070529413628965,0.19694638556693236,0.48783173121456336,0.4688261722621506,0.0,4031.5434009241862,0.020592731874634933,0.022858128541156642
100.0,8,64,8,4,20,nodes8_pods64_prio4_util100_timeout20,100,100,0,0.0000,100,1.0000,1,0.0100,6,0.0600,65,0.6500,28,0.2800,93,0.9300,0,0.0000,787196.0,7871.96,3.107,3.115,0.0311,0.0311,0.0,0.0,0.09999999999999999,0.238683256575942,0.4793724854411023,0.4512608598542129,0.0,7800.447084985358,0.02240952854695897,0.02205199319881093
100.0,16,64,4,1,1,nodes16_pods64_prio1_util100_timeout01,100,100,0,0.0000,100,1.0000,2,0.0200,0,0.0000,0,0.0000,98,0.9800,98,0.9800,0,0.0000,170610.0,1706.1,7.223,7.016,0.0722,0.0702,0.0,0.0,0.14070529413628968,0.0,0.0,0.14070529413628968,0.0,94.2428091193544,0.038328947048127754,0.037842234969340104
100.0,16,64,4,1,10,nodes16_pods64_prio1_util100_timeout10,100,100,0,0.0000,100,1.0000,0,0.0000,0,0.0000,0,0.0000,100,1.0000,100,1.0000,0,0.0000,1072715.0,10727.15,10.639,10.485,0.1064,0.1048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.25447928600863,0.0343810774241949,0.0370888572664801
100.0,16,64,4,1,20,nodes16_pods64_prio1_util100_timeout20,100,100,0,0.0000,100,1.0000,0,0.0000,0,0.0000,0,0.0000,100,1.0000,100,1.0000,0,0.0000,2068859.0,20688.59,10.78,10.53,0.1078,0.1053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.22596808973483,0.03254926336270216,0.037253025095794284
