scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,eff_run_util_mean,R_cum_p1_mean,R_cum_p2_mean,R_cum_p3_mean,R_cum_p4_mean,R_cum_total_mean,D_cum_p1_mean,D_cum_p2_mean,D_cum_p3_mean,D_cum_p4_mean,D_cum_total_mean,latency_s_p1_mean,latency_s_p2_mean,latency_s_p3_mean,latency_s_p4_mean,latency_s_total_mean
default,nodes=32_prio=4_arrival=8s,3,17.0017,0.8756,0.734,0.8756,809.0831,532.0543,421.0431,424.0436,2186.2241,8.0,0.0,0.0,0.0,8.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,17.002,0.7857,0.8528,0.8528,727.089,684.0834,403.0491,392.0478,2206.2693,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,17.0022,0.8481,0.7988,0.8481,783.1015,661.0852,745.0964,397.0511,2586.3342,10.0,0.0,0.0,2.0,12.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,18.0018,0.8825,0.7364,0.8825,873.0877,584.0581,457.0457,464.0464,2378.2379,8.0,0.0,0.0,0.0,8.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,18.0022,0.7857,0.8528,0.8528,783.0956,737.0897,439.0534,423.0515,2382.2902,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,18.0023,0.8502,0.8004,0.8502,850.109,716.0914,811.1038,431.0549,2808.3591,10.0,0.0,0.0,2.0,12.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,19.002,0.9018,0.7612,0.9018,942.0971,636.0651,493.0506,504.0519,2575.2647,8.0,0.0,0.0,0.0,8.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,19.0023,0.7857,0.8528,0.8528,839.103,790.0967,475.0581,454.0555,2558.3133,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,19.0024,0.8558,0.8103,0.8558,919.1158,771.0968,878.1104,465.0583,3033.3814,10.0,0.0,0.0,2.0,12.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,20.002,0.9064,0.7663,0.9064,1012.1027,688.0694,529.0535,544.0551,2773.2807,8.0,0.0,0.0,0.0,8.0,1.222,0.0782,0.0735,0.0654,0.4461
