scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
default,nodes=32_prio=4_arrival=16s,3,15.0016,0.8098,0.7999,0.8098,0.7999,71.0,52.0,60.0,34.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.8098,0.8098,217.0,5.0
default,nodes=32_prio=4_arrival=16s,3,15.0018,0.8653,0.7139,0.8784,0.7402,69.0,43.0,35.0,40.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.8653,0.8784,187.0,6.0
default,nodes=32_prio=4_arrival=16s,3,15.0019,0.7864,0.8624,0.7975,0.8963,56.0,53.0,36.0,31.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8624,0.8963,176.0,1.0
default,nodes=32_prio=4_arrival=16s,3,16.0017,0.8364,0.8022,0.8494,0.804,66.0,55.0,65.0,34.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,2.0,0.8364,0.8494,220.0,10.0
default,nodes=32_prio=4_arrival=16s,3,16.0019,0.8653,0.7139,0.8784,0.7402,69.0,43.0,35.0,40.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.8653,0.8784,187.0,6.0
default,nodes=32_prio=4_arrival=16s,3,16.002,0.7916,0.8682,0.8026,0.9021,58.0,53.0,36.0,31.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8682,0.9021,178.0,1.0
default,nodes=32_prio=4_arrival=16s,3,17.0018,0.8494,0.804,0.8494,0.804,66.0,55.0,66.0,34.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.8494,0.8494,221.0,10.0
default,nodes=32_prio=4_arrival=16s,3,17.002,0.8768,0.722,0.9106,0.7518,66.0,47.0,36.0,40.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.8768,0.9106,189.0,9.0
default,nodes=32_prio=4_arrival=16s,3,17.0021,0.7916,0.8682,0.8026,0.9021,58.0,53.0,36.0,31.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8682,0.9021,178.0,1.0
default,nodes=32_prio=4_arrival=16s,3,18.0019,0.8494,0.804,0.8582,0.8117,66.0,55.0,66.0,34.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.8494,0.8582,221.0,10.0
default,nodes=32_prio=4_arrival=16s,3,18.0021,0.8968,0.7463,0.9306,0.7761,69.0,52.0,36.0,40.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.8968,0.9306,197.0,9.0
default,nodes=32_prio=4_arrival=16s,3,18.0023,0.7916,0.8682,0.8026,0.9021,58.0,53.0,36.0,31.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8682,0.9021,178.0,1.0
default,nodes=32_prio=4_arrival=16s,3,19.002,0.8532,0.811,0.862,0.8187,68.0,55.0,66.0,34.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.8532,0.862,223.0,10.0
default,nodes=32_prio=4_arrival=16s,3,19.0022,0.8982,0.7502,0.9319,0.78,69.0,52.0,36.0,40.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.8982,0.9319,197.0,12.0
default,nodes=32_prio=4_arrival=16s,3,19.0024,0.7916,0.8682,0.8026,0.9021,58.0,53.0,36.0,31.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8682,0.9021,178.0,1.0
default,nodes=32_prio=4_arrival=16s,3,20.0021,0.8709,0.8255,0.8797,0.8332,73.0,55.0,67.0,34.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.8709,0.8797,229.0,10.0
default,nodes=32_prio=4_arrival=16s,3,20.0023,0.9014,0.7557,0.9352,0.7856,70.0,52.0,36.0,40.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.9014,0.9352,198.0,12.0
default,nodes=32_prio=4_arrival=16s,3,20.0025,0.7916,0.8682,0.8026,0.9021,58.0,53.0,36.0,31.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8682,0.9021,178.0,1.0
default,nodes=32_prio=4_arrival=16s,3,21.0022,0.882,0.8379,0.9004,0.8478,77.0,55.0,67.0,34.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.882,0.9004,233.0,10.0
default,nodes=32_prio=4_arrival=16s,3,21.0024,0.9014,0.7557,0.9352,0.7856,70.0,52.0,36.0,40.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.9014,0.9352,198.0,12.0
default,nodes=32_prio=4_arrival=16s,3,21.0026,0.7916,0.8682,0.8026,0.9021,58.0,53.0,36.0,31.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8682,0.9021,178.0,1.0
default,nodes=32_prio=4_arrival=16s,3,22.0023,0.8759,0.8391,0.9016,0.8513,77.0,55.0,67.0,34.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.8759,0.9016,233.0,12.0
default,nodes=32_prio=4_arrival=16s,3,22.0026,0.9014,0.7557,0.9352,0.7856,70.0,52.0,36.0,40.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.9014,0.9352,198.0,12.0
default,nodes=32_prio=4_arrival=16s,3,22.0028,0.7916,0.8682,0.8026,0.9021,58.0,53.0,36.0,31.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8682,0.9021,178.0,1.0
default,nodes=32_prio=4_arrival=16s,3,23.0024,0.8759,0.8391,0.9016,0.8513,77.0,55.0,67.0,34.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.8759,0.9016,233.0,12.0
default,nodes=32_prio=4_arrival=16s,3,23.0027,0.9014,0.7557,0.9352,0.7856,70.0,52.0,36.0,40.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.9014,0.9352,198.0,12.0
default,nodes=32_prio=4_arrival=16s,3,23.0029,0.7916,0.8682,0.8026,0.9021,58.0,53.0,36.0,31.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8682,0.9021,178.0,1.0
default,nodes=32_prio=4_arrival=16s,3,24.0025,0.8759,0.8391,0.9016,0.8513,77.0,55.0,67.0,34.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.8759,0.9016,233.0,12.0
default,nodes=32_prio=4_arrival=16s,3,24.0028,0.9014,0.7557,0.9352,0.7856,70.0,52.0,36.0,40.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.9014,0.9352,198.0,12.0
default,nodes=32_prio=4_arrival=16s,3,24.003,0.7916,0.8682,0.8026,0.9021,58.0,53.0,36.0,31.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8682,0.9021,178.0,1.0
default,nodes=32_prio=4_arrival=16s,3,25.0027,0.8759,0.8391,0.9016,0.8513,77.0,55.0,67.0,34.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.8759,0.9016,233.0,12.0
default,nodes=32_prio=4_arrival=16s,3,25.0029,0.9014,0.7557,0.9352,0.7856,70.0,52.0,36.0,40.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.9014,0.9352,198.0,12.0
default,nodes=32_prio=4_arrival=16s,3,25.0031,0.7916,0.8682,0.8026,0.9021,58.0,53.0,36.0,31.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8682,0.9021,178.0,1.0
default,nodes=32_prio=4_arrival=16s,3,26.0028,0.8779,0.8422,0.9036,0.8545,78.0,55.0,67.0,34.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.8779,0.9036,234.0,12.0
default,nodes=32_prio=4_arrival=16s,3,26.003,0.9014,0.7557,0.9352,0.7856,70.0,52.0,36.0,40.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.9014,0.9352,198.0,12.0
default,nodes=32_prio=4_arrival=16s,3,26.0032,0.7916,0.8682,0.8026,0.9021,58.0,53.0,36.0,31.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8682,0.9021,178.0,1.0
default,nodes=32_prio=4_arrival=16s,3,27.0028,0.8779,0.8422,0.9036,0.8545,78.0,55.0,67.0,34.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.8779,0.9036,234.0,12.0
default,nodes=32_prio=4_arrival=16s,3,27.0032,0.9014,0.7557,0.9352,0.7856,70.0,52.0,36.0,40.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.9014,0.9352,198.0,12.0
default,nodes=32_prio=4_arrival=16s,3,27.0033,0.7916,0.8682,0.8026,0.9021,58.0,53.0,36.0,31.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8682,0.9021,178.0,1.0
