scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean
default,nodes=16_prio=4_arrival=4s,3,18.002,0.8084,0.8425,0.8242,0.8805,28.0,28.0,33.0,19.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,19.0019,0.9084,0.8131,1.0082,0.8323,37.0,29.0,20.0,16.0,4.0,0.0,0.0,0.0,9.0,1.0,3.0,0.0
default,nodes=16_prio=4_arrival=4s,3,19.002,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,19.0021,0.8084,0.8425,0.8242,0.8805,28.0,28.0,33.0,19.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,20.002,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,20.0021,0.9084,0.8131,1.0082,0.8323,37.0,29.0,20.0,16.0,4.0,0.0,0.0,0.0,9.0,1.0,3.0,0.0
default,nodes=16_prio=4_arrival=4s,3,20.0022,0.8376,0.8846,0.8804,0.9427,31.0,29.0,33.0,21.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,21.0021,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,21.0023,0.9155,0.8148,0.986,0.828,38.0,27.0,22.0,16.0,3.0,0.0,0.0,0.0,9.0,3.0,4.0,0.0
default,nodes=16_prio=4_arrival=4s,3,21.0023,0.8376,0.8846,0.8804,0.9427,31.0,29.0,33.0,21.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,22.0022,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,22.0024,0.8376,0.8846,0.8534,0.9226,31.0,29.0,33.0,21.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
