pods_per_node,timeout_s,nodes,util,config_dir,default_all_running_rate,default_optimal_rate,solver_optimal_rate,solver_feasible_rate,solver_failed_rate,other_rate,solver_called_rate,solver_duration_ms_mean,cpu_delta_mean,mem_delta_mean,n_seeds
8,1,8,100.0,nodes8_pods64_prio1_util100_timeout01,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1726.3,0.056,0.053,100
8,1,8,105.0,nodes8_pods64_prio1_util105_timeout01,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1698.4,0.048,0.048,100
8,1,16,90.0,nodes16_pods128_prio1_util090_timeout01,46.0,8.0,12.0,7.0,27.0,0.0,54.0,1629.7,0.006,0.006,100
8,1,16,95.0,nodes16_pods128_prio1_util095_timeout01,0.0,0.0,0.0,30.0,70.0,0.0,100.0,1616.9,0.005,0.004,100
8,1,16,100.0,nodes16_pods128_prio1_util100_timeout01,0.0,0.0,0.0,20.0,80.0,0.0,100.0,1544.6,0.001,0.002,100
8,1,16,105.0,nodes16_pods128_prio1_util105_timeout01,0.0,0.0,0.0,17.0,83.0,0.0,100.0,1544.8,0.000,0.002,100
8,1,32,95.0,nodes32_pods256_prio1_util095_timeout01,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1309.0,0.001,0.001,100
8,1,32,100.0,nodes32_pods256_prio1_util100_timeout01,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1274.1,-0.001,0.001,100
8,1,32,105.0,nodes32_pods256_prio1_util105_timeout01,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1199.1,0.000,0.001,100
8,1,64,90.0,nodes64_pods512_prio1_util090_timeout01,22.0,0.0,0.0,0.0,78.0,0.0,0.0,--,-0.001,-0.000,100
8,1,64,95.0,nodes64_pods512_prio1_util095_timeout01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,--,-0.000,-0.000,100
8,1,64,100.0,nodes64_pods512_prio1_util100_timeout01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,--,-0.001,-0.001,100
8,1,64,105.0,nodes64_pods512_prio1_util105_timeout01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,--,0.000,-0.000,100
8,10,4,90.0,nodes4_pods32_prio1_util090_timeout10,79.0,2.0,16.0,0.0,3.0,0.0,21.0,822.7,0.035,0.037,100
8,10,4,95.0,nodes4_pods32_prio1_util095_timeout10,16.0,0.0,81.0,0.0,3.0,0.0,84.0,917.2,0.043,0.048,100
8,10,4,100.0,nodes4_pods32_prio1_util100_timeout10,0.0,0.0,0.0,96.0,4.0,0.0,100.0,6227.1,0.045,0.043,100
8,10,4,105.0,nodes4_pods32_prio1_util105_timeout10,0.0,0.0,70.0,28.0,2.0,0.0,100.0,3620.9,0.049,0.051,100
8,10,8,90.0,nodes8_pods64_prio1_util090_timeout10,58.0,4.0,29.0,0.0,9.0,0.0,42.0,1074.1,0.020,0.022,100
8,10,8,95.0,nodes8_pods64_prio1_util095_timeout10,2.0,0.0,96.0,2.0,0.0,0.0,98.0,1964.3,0.041,0.037,100
8,10,8,100.0,nodes8_pods64_prio1_util100_timeout10,0.0,0.0,0.0,100.0,0.0,0.0,100.0,10643.5,0.059,0.056,100
8,10,8,105.0,nodes8_pods64_prio1_util105_timeout10,0.0,0.0,0.0,100.0,0.0,0.0,100.0,10637.0,0.051,0.051,100
8,10,16,90.0,nodes16_pods128_prio1_util090_timeout10,48.0,12.0,33.0,0.0,7.0,0.0,52.0,2011.0,0.012,0.011,100
8,10,16,95.0,nodes16_pods128_prio1_util095_timeout10,0.0,0.0,60.0,39.0,1.0,0.0,100.0,7599.5,0.040,0.039,100
8,10,16,100.0,nodes16_pods128_prio1_util100_timeout10,0.0,0.0,0.0,98.0,2.0,0.0,100.0,10755.0,0.051,0.051,100
8,10,16,105.0,nodes16_pods128_prio1_util105_timeout10,0.0,0.0,0.0,100.0,0.0,0.0,100.0,10705.6,0.045,0.048,100
