pods_per_node,timeout_s,nodes,util,config_dir,default_all_running_rate,default_optimal_rate,solver_optimal_rate,solver_feasible_rate,solver_failed_rate,other_rate,solver_called_rate,solver_duration_ms_mean,cpu_delta_mean,mem_delta_mean,n_seeds
4,1,64,100.0,nodes64_pods256_prio1_util100_timeout01,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,-- ± --,-0.001 ± 0.007,-0.001 ± 0.006,100
4,1,64,105.0,nodes64_pods256_prio1_util105_timeout01,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,-- ± --,0.001 ± 0.010,0.001 ± 0.009,100
4,10,4,90.0,nodes4_pods16_prio1_util090_timeout10,23.0 ± 42.3,1.0 ± 10.0,74.0 ± 44.1,1.0 ± 10.0,1.0 ± 10.0,0.0 ± 0.0,77.0 ± 0.0,937.0 ± 786.5,0.083 ± 0.052,0.091 ± 0.051,100
4,10,4,95.0,nodes4_pods16_prio1_util095_timeout10,2.0 ± 14.1,4.0 ± 19.7,68.0 ± 46.9,17.0 ± 37.8,9.0 ± 28.8,0.0 ± 0.0,98.0 ± 0.0,2642.8 ± 2108.3,0.087 ± 0.074,0.081 ± 0.068,100
4,10,4,100.0,nodes4_pods16_prio1_util100_timeout10,1.0 ± 10.0,12.0 ± 32.7,82.0 ± 38.6,4.0 ± 19.7,1.0 ± 10.0,0.0 ± 0.0,99.0 ± 0.0,1577.3 ± 1329.1,0.079 ± 0.075,0.077 ± 0.073,100
4,10,4,105.0,nodes4_pods16_prio1_util105_timeout10,0.0 ± 0.0,4.0 ± 19.7,68.0 ± 46.9,24.0 ± 42.9,4.0 ± 19.7,0.0 ± 0.0,100.0 ± 0.0,3389.5 ± 2173.5,0.086 ± 0.079,0.075 ± 0.065,100
4,10,8,90.0,nodes8_pods32_prio1_util090_timeout10,4.0 ± 19.7,0.0 ± 0.0,94.0 ± 23.9,1.0 ± 10.0,1.0 ± 10.0,0.0 ± 0.0,96.0 ± 0.0,1580.1 ± 1607.8,0.077 ± 0.045,0.076 ± 0.043,100
4,10,8,95.0,nodes8_pods32_prio1_util095_timeout10,0.0 ± 0.0,0.0 ± 0.0,23.0 ± 42.3,77.0 ± 42.3,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,8923.1 ± 3359.5,0.117 ± 0.046,0.118 ± 0.049,100
4,10,8,100.0,nodes8_pods32_prio1_util100_timeout10,0.0 ± 0.0,0.0 ± 0.0,8.0 ± 27.3,91.0 ± 28.8,1.0 ± 10.0,0.0 ± 0.0,100.0 ± 0.0,10210.5 ± 1600.0,0.122 ± 0.050,0.118 ± 0.051,100
4,10,8,105.0,nodes8_pods32_prio1_util105_timeout10,0.0 ± 0.0,0.0 ± 0.0,1.0 ± 10.0,99.0 ± 10.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,10421.8 ± 1180.1,0.114 ± 0.055,0.108 ± 0.046,100
