job_name,plugin_config,n_seed,T_end_s_mean,delta_U_pct_cpu_mean,delta_U_pct_mem_mean,delta_U_pct_eff_mean,delta_R_num_p1_mean,delta_R_num_p2_mean,delta_R_num_p3_mean,delta_R_num_p4_mean,delta_R_num_total_mean,delta_D_num_p1_mean,delta_D_num_p2_mean,delta_D_num_p3_mean,delta_D_num_p4_mean,delta_D_num_total_mean,delta_L_ms_p1_mean,delta_L_ms_p2_mean,delta_L_ms_p3_mean,delta_L_ms_p4_mean,delta_L_ms_total_mean,solver_attempts_mean,solver_optimal_mean,solver_feasible_mean,solver_failed_mean,plan_not_applicable_mean,plan_activated_mean,T_end_s_std,delta_U_pct_cpu_std,delta_U_pct_mem_std,delta_U_pct_eff_std,delta_R_num_p1_std,delta_R_num_p2_std,delta_R_num_p3_std,delta_R_num_p4_std,delta_R_num_total_std,delta_D_num_p1_std,delta_D_num_p2_std,delta_D_num_p3_std,delta_D_num_p4_std,delta_D_num_total_std,delta_L_ms_p1_std,delta_L_ms_p2_std,delta_L_ms_p3_std,delta_L_ms_p4_std,delta_L_ms_total_std,solver_attempts_std,solver_optimal_std,solver_feasible_std,solver_failed_std,plan_not_applicable_std,plan_activated_std
nodes=16_prio=1_arrival=1s,mode=periodic64s_blocking=0_defpreempt=0,3,7199.5878,-0.1118,-0.1361,-0.1417,-0.0888,0.0,0.0,0.0,-0.0888,-72.0,,,,-72.0,1.4427,,,,1.4427,1.0,1.0,0.0,0.0,0.0,1.0,0.3092,0.116,0.0883,0.1311,0.039,0.0,0.0,0.0,0.039,35.7911,,,,35.7911,21.7528,,,,21.7528,,,,,,
nodes=16_prio=1_arrival=1s,mode=periodic64s_blocking=0_defpreempt=1,3,7199.3468,-0.1621,-0.0929,-0.1526,-0.0425,0.0,0.0,0.0,-0.0425,-20.3333,,,,-20.3333,28.2269,,,,28.2269,1.5,1.0,0.0,0.5,0.0,1.0,0.354,0.1141,0.1034,0.1816,0.1133,0.0,0.0,0.0,0.1133,23.1157,,,,23.1157,12.5646,,,,12.5646,0.7071,0.0,0.0,0.7071,0.0,0.0
nodes=16_prio=1_arrival=1s,mode=periodic64s_blocking=1_defpreempt=0,3,7199.7443,-0.2816,-0.1872,-0.2805,-0.1089,0.0,0.0,0.0,-0.1089,-18.6667,,,,-18.6667,69.7857,,,,69.7857,1.0,0.5,0.0,0.5,0.0,0.5,0.0679,0.1503,0.0886,0.1012,0.078,0.0,0.0,0.0,0.078,49.1664,,,,49.1664,47.7117,,,,47.7117,0.0,0.7071,0.0,0.7071,0.0,0.7071
nodes=16_prio=1_arrival=1s,mode=periodic64s_blocking=1_defpreempt=1,3,7199.2941,-0.3266,-0.0607,-0.2484,-0.0635,0.0,0.0,0.0,-0.0635,2.0,,,,2.0,8.621,,,,8.621,1.0,1.0,0.0,0.0,0.0,1.0,0.2142,0.2385,0.0871,0.2776,0.1207,0.0,0.0,0.0,0.1207,95.5196,,,,95.5196,10.5784,,,,10.5784,,,,,,
nodes=16_prio=1_arrival=1s,mode=periodic8s_blocking=0_defpreempt=0,3,7199.4097,-0.0481,0.0266,0.0091,-0.0869,0.0,0.0,0.0,-0.0869,-91.3333,,,,-91.3333,44.09,,,,44.09,20.3333,15.3333,0.6667,4.3333,0.0,16.0,0.248,0.2624,0.1523,0.3236,0.0711,0.0,0.0,0.0,0.0711,41.0041,,,,41.0041,41.5271,,,,41.5271,1.5275,1.5275,0.5774,2.0817,0.0,2.0
nodes=16_prio=1_arrival=1s,mode=periodic8s_blocking=0_defpreempt=1,3,7199.7346,0.1432,0.104,0.1832,0.2722,0.0,0.0,0.0,0.2722,-163.3333,,,,-163.3333,71.8835,,,,71.8835,20.0,15.6667,0.3333,4.0,0.0,16.0,0.062,0.4257,0.1931,0.3966,0.6043,0.0,0.0,0.0,0.6043,150.2842,,,,150.2842,38.5792,,,,38.5792,2.6458,2.0817,0.5774,1.0,0.0,1.7321
nodes=16_prio=1_arrival=1s,mode=periodic8s_blocking=1_defpreempt=0,3,7199.5629,0.0623,0.1013,0.1447,-0.0587,0.0,0.0,0.0,-0.0587,-120.3333,,,,-120.3333,29.4427,,,,29.4427,21.0,17.3333,0.3333,3.3333,0.0,17.6667,0.3562,0.201,0.1434,0.22,0.0334,0.0,0.0,0.0,0.0334,92.5545,,,,92.5545,3.8741,,,,3.8741,2.6458,4.0415,0.5774,2.3094,0.0,4.5092
nodes=16_prio=1_arrival=1s,mode=periodic8s_blocking=1_defpreempt=1,3,7199.3432,0.0499,0.0686,0.0948,-0.0321,0.0,0.0,0.0,-0.0321,-66.6667,,,,-66.6667,8.9823,,,,8.9823,21.0,17.6667,0.6667,2.6667,0.0,18.3333,0.2595,0.2415,0.094,0.2847,0.0833,0.0,0.0,0.0,0.0833,6.5064,,,,6.5064,41.4248,,,,41.4248,2.6458,3.0551,0.5774,2.0817,0.0,3.2146
nodes=16_prio=1_arrival=1s,mode=schedulingfailure_blocking=0_defpreempt=0,3,7199.6968,-2.5431,-2.8506,-2.3186,-4.5183,0.0,0.0,0.0,-4.5183,-4079.0,,,,-4079.0,2440.0989,,,,2440.0989,439.6667,280.3333,26.3333,133.0,23.0,283.6667,0.323,0.5041,0.2661,0.2557,0.2369,0.0,0.0,0.0,0.2369,433.262,,,,433.262,259.1712,,,,259.1712,33.946,33.3816,22.2785,30.348,3.0,45.0814
nodes=16_prio=1_arrival=1s,mode=schedulingfailure_blocking=0_defpreempt=1,3,7199.5819,-2.7917,-2.8894,-2.5798,-4.6654,0.0,0.0,0.0,-4.6654,-3916.3333,,,,-3916.3333,2361.2993,,,,2361.2993,433.6667,273.0,20.6667,140.0,16.0,277.6667,0.2677,0.3966,0.2147,0.253,0.3479,0.0,0.0,0.0,0.3479,361.1168,,,,361.1168,434.9342,,,,434.9342,30.5014,35.0,19.5021,40.7063,2.6458,50.0833
nodes=16_prio=1_arrival=1s,mode=schedulingfailure_blocking=1_defpreempt=0,3,7199.52,-2.8852,-2.9546,-2.6511,-4.8067,0.0,0.0,0.0,-4.8067,-3930.3333,,,,-3930.3333,2389.913,,,,2389.913,440.0,276.3333,20.0,143.6667,17.0,279.3333,0.13,0.3922,0.2489,0.273,0.2694,0.0,0.0,0.0,0.2694,320.7372,,,,320.7372,385.4798,,,,385.4798,30.8058,36.9098,17.7764,38.6825,5.1962,48.0555
nodes=16_prio=1_arrival=1s,mode=schedulingfailure_blocking=1_defpreempt=1,3,7199.6909,-2.6177,-2.7947,-2.3937,-4.5534,0.0,0.0,0.0,-4.5534,-3864.6667,,,,-3864.6667,2282.9335,,,,2282.9335,445.6667,291.3333,25.6667,128.6667,19.6667,297.3333,0.3291,0.4533,0.2423,0.2672,0.3689,0.0,0.0,0.0,0.3689,282.4293,,,,282.4293,279.5389,,,,279.5389,49.2375,52.5579,18.5562,33.4863,5.5076,64.9333
nodes=16_prio=1_arrival=1s,mode=stablequeue16s_blocking=0_defpreempt=0,3,7199.5043,-0.2096,-0.0967,-0.15,-0.0334,0.0,0.0,0.0,-0.0334,-8.6667,,,,-8.6667,37.7023,,,,37.7023,10.3333,5.0,0.0,5.3333,0.0,5.0,0.3571,0.2238,0.1357,0.281,0.1386,0.0,0.0,0.0,0.1386,61.8493,,,,61.8493,14.1101,,,,14.1101,3.5119,2.0,0.0,1.5275,0.0,2.0
nodes=16_prio=1_arrival=1s,mode=stablequeue16s_blocking=0_defpreempt=1,3,7199.6641,-0.0692,-0.0193,-0.0667,-0.0147,0.0,0.0,0.0,-0.0147,-1.6667,,,,-1.6667,-8.1857,,,,-8.1857,11.6667,5.3333,0.0,6.3333,0.0,5.3333,0.2521,0.2393,0.1035,0.2756,0.155,0.0,0.0,0.0,0.155,44.5234,,,,44.5234,39.942,,,,39.942,5.0332,2.0817,0.0,4.0415,0.0,2.0817
nodes=16_prio=1_arrival=1s,mode=stablequeue16s_blocking=1_defpreempt=0,3,7199.5249,-0.0135,-0.0698,-0.032,-0.0558,0.0,0.0,0.0,-0.0558,-42.6667,,,,-42.6667,13.3804,,,,13.3804,9.0,4.6667,0.0,4.3333,0.0,4.6667,0.4127,0.1777,0.0338,0.1967,0.0369,0.0,0.0,0.0,0.0369,72.5695,,,,72.5695,20.1495,,,,20.1495,2.6458,1.5275,0.0,2.0817,0.0,1.5275
nodes=16_prio=1_arrival=1s,mode=stablequeue16s_blocking=1_defpreempt=1,3,7199.6122,-0.0585,0.0241,-0.0408,-0.0659,0.0,0.0,0.0,-0.0659,-66.0,,,,-66.0,39.7033,,,,39.7033,8.0,5.3333,0.0,2.6667,0.0,5.3333,0.2841,0.1592,0.0855,0.245,0.0225,0.0,0.0,0.0,0.0225,77.4855,,,,77.4855,32.78,,,,32.78,1.7321,2.3094,0.0,2.0817,0.0,2.3094
nodes=16_prio=1_arrival=1s,mode=stablequeue2s_blocking=0_defpreempt=0,3,7199.1299,0.3392,0.2251,0.3867,0.0384,0.0,0.0,0.0,0.0384,-38.3333,,,,-38.3333,29.7767,,,,29.7767,294.3333,61.3333,0.0,233.0,0.0,61.3333,0.1894,0.2775,0.2949,0.3721,0.1418,0.0,0.0,0.0,0.1418,26.7644,,,,26.7644,44.0927,,,,44.0927,31.39,10.2144,0.0,24.2693,0.0,10.2144
