job_name,plugin_config,seed,T_end_s_mean,delta_U_pct_cpu_mean,delta_U_pct_mem_mean,delta_U_pct_eff_mean,delta_R_num_p1_mean,delta_R_num_p2_mean,delta_R_num_p3_mean,delta_R_num_p4_mean,delta_R_num_total_mean,delta_D_num_p1_mean,delta_D_num_p2_mean,delta_D_num_p3_mean,delta_D_num_p4_mean,delta_D_num_total_mean,delta_L_ms_p1_mean,delta_L_ms_p2_mean,delta_L_ms_p3_mean,delta_L_ms_p4_mean,delta_L_ms_total_mean,solver_attempts_mean,solver_optimal_mean,solver_feasible_mean,solver_failed_mean,plan_not_applicable_mean,plan_activated_mean
nodes=32_prio=1_arrival=2s,mode=periodic32s_blocking=0_defpreempt=0,1420052706459400740,7199.2808,0.1362,-0.0337,0.0174,0.0048,0.0,0.0,0.0,0.0048,12.0,,,,12.0,-80.7536,,,,-80.7536,4.0,4.0,0.0,0.0,0.0,4.0
nodes=32_prio=1_arrival=2s,mode=periodic32s_blocking=0_defpreempt=0,2219457405427907235,7199.4269,0.2688,0.1757,0.2441,0.1994,0.0,0.0,0.0,0.1994,-24.0,,,,-24.0,299.0718,,,,299.0718,8.0,5.0,0.0,3.0,0.0,5.0
nodes=32_prio=1_arrival=2s,mode=periodic32s_blocking=0_defpreempt=0,3848061858430934892,7199.6818,0.1822,0.019,0.1822,0.1184,0.0,0.0,0.0,0.1184,57.0,,,,57.0,-130.2134,,,,-130.2134,12.0,8.0,0.0,4.0,0.0,8.0
nodes=32_prio=1_arrival=4s,mode=periodic32s_blocking=0_defpreempt=0,1420052706459400740,7199.3243,0.7761,0.3461,0.7764,0.6325,0.0,0.0,0.0,0.6325,56.0,,,,56.0,167.1344,,,,167.1344,15.0,10.0,0.0,5.0,0.0,10.0
nodes=32_prio=1_arrival=4s,mode=periodic32s_blocking=0_defpreempt=0,2219457405427907235,7199.8594,1.32,0.4726,1.313,1.1467,0.0,0.0,0.0,1.1467,38.0,,,,38.0,-1998.3032,,,,-1998.3032,12.0,9.0,0.0,3.0,0.0,9.0
nodes=32_prio=1_arrival=4s,mode=periodic32s_blocking=0_defpreempt=0,3848061858430934892,7199.2707,1.0397,0.2184,1.0397,0.6675,0.0,0.0,0.0,0.6675,-10.0,,,,-10.0,-1367.9039,,,,-1367.9039,14.0,10.0,0.0,4.0,0.0,10.0
nodes=32_prio=1_arrival=8s,mode=periodic32s_blocking=0_defpreempt=0,1420052706459400740,7199.6397,0.2621,0.2241,0.2887,0.2192,0.0,0.0,0.0,0.2192,2.0,,,,2.0,-2.0291,,,,-2.0291,35.0,10.0,0.0,25.0,0.0,10.0
nodes=32_prio=1_arrival=8s,mode=periodic32s_blocking=0_defpreempt=0,2219457405427907235,7199.5859,2.152,0.5969,2.2478,1.5637,0.0,0.0,0.0,1.5637,30.0,,,,30.0,-1118.5919,,,,-1118.5919,31.0,10.0,0.0,21.0,0.0,10.0
nodes=32_prio=1_arrival=8s,mode=periodic32s_blocking=0_defpreempt=0,3848061858430934892,7199.4204,0.237,0.0542,0.237,0.1621,0.0,0.0,0.0,0.1621,13.0,,,,13.0,1871.0128,,,,1871.0128,21.0,4.0,0.0,17.0,0.0,4.0
nodes=32_prio=4_arrival=16s,mode=periodic32s_blocking=0_defpreempt=0,1420052706459400740,7199.4064,-0.1175,0.0607,-0.1174,1.2047,-0.2613,-0.3902,-0.5901,-0.0369,-118.0,-28.0,-29.0,-21.0,-196.0,2659.7553,4375.8938,6333.281,26861.2403,8433.8391,32.0,15.0,0.0,17.0,0.0,15.0
nodes=32_prio=4_arrival=16s,mode=periodic32s_blocking=0_defpreempt=0,2219457405427907235,7199.2296,0.3086,1.022,1.0222,1.0601,-0.1532,-0.2422,-0.1032,0.5615,-102.0,-40.0,-45.0,-30.0,-217.0,4822.6796,2093.1318,4742.4157,1462.963,3673.7758,11.0,10.0,0.0,1.0,0.0,10.0
nodes=32_prio=4_arrival=16s,mode=periodic32s_blocking=0_defpreempt=0,3848061858430934892,7199.3181,1.2676,0.4276,1.2678,1.6308,-0.3683,-0.2536,-0.161,0.8479,-71.0,-28.0,-18.0,-14.0,-131.0,642.8986,4903.5825,8534.6856,2637.9357,3985.5935,18.0,11.0,0.0,7.0,0.0,11.0
nodes=32_prio=4_arrival=1s,mode=periodic32s_blocking=0_defpreempt=0,1420052706459400740,7199.8979,-0.4862,-0.0898,-0.4664,1.2385,-0.6677,-0.5015,-0.3959,-0.3266,-1771.0,-373.0,-271.0,-243.0,-2658.0,127.2241,680.2897,578.006,509.112,450.6193,2.0,2.0,0.0,0.0,0.0,2.0
nodes=32_prio=4_arrival=1s,mode=periodic32s_blocking=0_defpreempt=0,2219457405427907235,7199.5034,0.031,0.2781,0.1866,1.4748,-0.5993,-0.5305,-0.3032,0.0417,-1518.0,-387.0,-322.0,-206.0,-2433.0,298.3361,568.2051,826.1531,433.0903,522.1285,5.0,5.0,0.0,0.0,0.0,5.0
nodes=32_prio=4_arrival=1s,mode=periodic32s_blocking=0_defpreempt=0,3848061858430934892,7199.4791,-0.0295,-0.042,-0.034,1.3771,-0.6849,-0.3541,-0.4937,-0.1556,-1428.0,-333.0,-227.0,-185.0,-2173.0,158.0395,548.4163,529.83,649.8738,433.1522,5.0,5.0,0.0,0.0,0.0,5.0
nodes=32_prio=4_arrival=2s,mode=periodic32s_blocking=0_defpreempt=0,1420052706459400740,7199.8186,-0.1783,-0.2036,-0.1801,1.0809,-0.56,-0.461,-0.3629,-0.303,-1047.0,-267.0,-187.0,-142.0,-1643.0,558.9473,1101.5717,802.1018,1387.3912,926.0141,3.0,3.0,0.0,0.0,0.0,3.0
nodes=32_prio=4_arrival=2s,mode=periodic32s_blocking=0_defpreempt=0,2219457405427907235,7199.2928,0.3921,0.6609,0.5624,1.7113,-0.4925,-0.4679,-0.358,0.393,-779.0,-200.0,-201.0,-142.0,-1322.0,494.6637,1371.7767,1260.2456,1160.7581,1024.8012,9.0,9.0,0.0,0.0,0.0,9.0
nodes=32_prio=4_arrival=2s,mode=periodic32s_blocking=0_defpreempt=0,3848061858430934892,7199.0217,0.3223,0.1533,0.3168,1.447,-0.5874,-0.3442,-0.4314,0.0839,-725.0,-183.0,-120.0,-106.0,-1134.0,264.0345,844.7614,1043.6986,1067.3518,736.6402,18.0,17.0,0.0,1.0,0.0,17.0
nodes=32_prio=4_arrival=4s,mode=periodic32s_blocking=0_defpreempt=0,1420052706459400740,7199.3123,-0.0229,0.4075,-0.0104,1.2271,-0.5403,-0.4865,-0.2157,-0.0154,-470.0,-165.0,-84.0,-92.0,-811.0,1336.3149,3458.8408,4000.8028,1097.48,2478.044,21.0,18.0,0.0,3.0,0.0,18.0
nodes=32_prio=4_arrival=4s,mode=periodic32s_blocking=0_defpreempt=0,2219457405427907235,7199.5913,0.2602,0.1131,0.3785,1.1949,-0.423,-0.5179,-0.2675,-0.0135,-427.0,-136.0,-116.0,-80.0,-759.0,701.176,1950.7568,1851.6632,1219.6628,1398.2441,14.0,13.0,0.0,1.0,0.0,13.0
nodes=32_prio=4_arrival=4s,mode=periodic32s_blocking=0_defpreempt=0,3848061858430934892,7199.8367,1.2204,0.4107,1.2206,1.7749,-0.477,-0.2847,-0.3904,0.6229,-397.0,-115.0,-92.0,-80.0,-684.0,617.5617,1851.7119,1361.0701,1975.5493,1363.574,14.0,14.0,0.0,0.0,0.0,14.0
nodes=32_prio=4_arrival=8s,mode=periodic32s_blocking=0_defpreempt=0,1420052706459400740,7199.1966,-0.0797,0.2797,-0.0333,1.0365,-0.3113,-0.4214,-0.2782,0.0255,-216.0,-48.0,-44.0,-38.0,-346.0,2493.9954,3879.9326,6022.4578,5893.0638,4331.6625,18.0,18.0,0.0,0.0,0.0,18.0
nodes=32_prio=4_arrival=8s,mode=periodic32s_blocking=0_defpreempt=0,2219457405427907235,7199.9349,0.5362,0.4876,0.4869,1.1022,-0.2543,-0.436,-0.1542,0.2578,-201.0,-65.0,-85.0,-47.0,-398.0,1027.0793,2038.2957,1766.6341,2661.3108,1827.9258,14.0,10.0,0.0,4.0,0.0,10.0
nodes=32_prio=4_arrival=8s,mode=periodic32s_blocking=0_defpreempt=0,3848061858430934892,7199.4856,0.6157,0.2759,0.6155,1.3011,-0.2173,-0.3462,-0.3211,0.4165,-238.0,-68.0,-52.0,-44.0,-402.0,1510.335,1417.2141,2246.6953,4989.1249,2259.9697,17.0,11.0,0.0,6.0,0.0,11.0
nodes=16_prio=1_arrival=16s,mode=periodic32s_blocking=0_defpreempt=1,1420052706459400740,7199.2535,2.1921,1.8365,2.3468,1.1507,0.0,0.0,0.0,1.1507,-3.0,,,,-3.0,2031.7886,,,,2031.7886,16.0,11.0,0.0,5.0,0.0,11.0
nodes=16_prio=1_arrival=16s,mode=periodic32s_blocking=0_defpreempt=1,2219457405427907235,7199.858,3.1893,0.7067,2.6896,0.8948,0.0,0.0,0.0,0.8948,-19.0,,,,-19.0,-3472.718,,,,-3472.718,13.0,11.0,0.0,2.0,0.0,11.0
nodes=16_prio=1_arrival=16s,mode=periodic32s_blocking=0_defpreempt=1,3848061858430934892,7199.3529,3.6916,1.4081,3.6915,1.2563,0.0,0.0,0.0,1.2563,-53.0,,,,-53.0,-3846.3566,,,,-3846.3566,21.0,6.0,2.0,13.0,0.0,8.0
nodes=16_prio=1_arrival=1s,mode=periodic32s_blocking=0_defpreempt=1,1420052706459400740,7199.6307,-0.2031,-0.0058,-0.1316,-0.0982,0.0,0.0,0.0,-0.0982,-26.0,,,,-26.0,38.5448,,,,38.5448,2.0,2.0,0.0,0.0,0.0,2.0
nodes=16_prio=1_arrival=1s,mode=periodic32s_blocking=0_defpreempt=1,2219457405427907235,7199.8209,0.1172,-0.0137,0.1509,0.0569,0.0,0.0,0.0,0.0569,-45.0,,,,-45.0,8.8726,,,,8.8726,4.0,4.0,0.0,0.0,0.0,4.0
nodes=16_prio=1_arrival=1s,mode=periodic32s_blocking=0_defpreempt=1,3848061858430934892,7199.0574,-0.3084,-0.084,-0.3085,-0.0321,0.0,0.0,0.0,-0.0321,24.0,,,,24.0,27.9621,,,,27.9621,3.0,2.0,0.0,1.0,0.0,2.0
nodes=16_prio=1_arrival=2s,mode=periodic32s_blocking=0_defpreempt=1,1420052706459400740,7199.796,0.1227,0.0252,0.1732,-0.0689,0.0,0.0,0.0,-0.0689,-126.0,,,,-126.0,292.9618,,,,292.9618,4.0,2.0,0.0,2.0,0.0,2.0
nodes=16_prio=1_arrival=2s,mode=periodic32s_blocking=0_defpreempt=1,2219457405427907235,7199.58,0.38,-0.0994,0.2387,0.0061,0.0,0.0,0.0,0.0061,-80.0,,,,-80.0,146.9175,,,,146.9175,10.0,10.0,0.0,0.0,0.0,10.0
nodes=16_prio=1_arrival=2s,mode=periodic32s_blocking=0_defpreempt=1,3848061858430934892,7199.8439,0.8414,0.7734,0.8416,0.0813,0.0,0.0,0.0,0.0813,-136.0,,,,-136.0,-324.907,,,,-324.907,3.0,3.0,0.0,0.0,0.0,3.0
nodes=16_prio=1_arrival=4s,mode=periodic32s_blocking=0_defpreempt=1,1420052706459400740,7199.2398,0.2911,-0.223,0.2913,-0.0161,0.0,0.0,0.0,-0.0161,6.0,,,,6.0,534.6297,,,,534.6297,9.0,8.0,1.0,0.0,0.0,9.0
nodes=16_prio=1_arrival=4s,mode=periodic32s_blocking=0_defpreempt=1,2219457405427907235,7199.3158,1.4839,0.1026,1.4531,0.3449,0.0,0.0,0.0,0.3449,-97.0,,,,-97.0,570.1154,,,,570.1154,10.0,7.0,0.0,3.0,0.0,7.0
nodes=16_prio=1_arrival=4s,mode=periodic32s_blocking=0_defpreempt=1,3848061858430934892,7199.6975,1.8629,0.2044,1.863,0.4324,0.0,0.0,0.0,0.4324,-79.0,,,,-79.0,-238.2338,,,,-238.2338,13.0,6.0,0.0,7.0,0.0,6.0
nodes=16_prio=1_arrival=8s,mode=periodic32s_blocking=0_defpreempt=1,1420052706459400740,7199.7916,0.2847,0.3987,0.39,0.1502,0.0,0.0,0.0,0.1502,23.0,,,,23.0,893.9972,,,,893.9972,14.0,13.0,0.0,1.0,0.0,13.0
nodes=16_prio=1_arrival=8s,mode=periodic32s_blocking=0_defpreempt=1,2219457405427907235,7199.026,1.0609,0.2874,1.0792,0.1914,0.0,0.0,0.0,0.1914,-37.0,,,,-37.0,1690.7748,,,,1690.7748,15.0,12.0,0.0,3.0,0.0,12.0
nodes=16_prio=1_arrival=8s,mode=periodic32s_blocking=0_defpreempt=1,3848061858430934892,7199.435,2.9839,0.921,2.9844,1.0216,0.0,0.0,0.0,1.0216,-48.0,,,,-48.0,-581.8661,,,,-581.8661,13.0,6.0,0.0,7.0,0.0,6.0
nodes=16_prio=4_arrival=16s,mode=periodic32s_blocking=0_defpreempt=1,1420052706459400740,7199.1949,0.3222,0.9532,0.3283,0.3586,-0.0025,-0.0022,0.0,0.3539,32.0,0.0,0.0,0.0,32.0,-2436.3277,-9.0498,-28.7081,-20.0,-685.6717,16.0,10.0,2.0,4.0,0.0,12.0
nodes=16_prio=4_arrival=16s,mode=periodic32s_blocking=0_defpreempt=1,2219457405427907235,7199.2866,0.7186,1.3357,1.346,0.6499,-0.0069,0.0024,0.0008,0.6462,92.0,-4.0,0.0,0.0,88.0,413.3057,96.6395,-18.018,49.3827,173.4448,22.0,17.0,0.0,5.0,0.0,17.0
nodes=16_prio=4_arrival=16s,mode=periodic32s_blocking=0_defpreempt=1,3848061858430934892,7199.3488,2.4254,0.8095,2.396,0.8661,-0.004,-0.0029,-0.0017,0.8574,50.0,2.0,0.0,0.0,52.0,-89.8509,11.647,14.218,0.0,-75.6505,17.0,16.0,0.0,1.0,0.0,16.0
nodes=16_prio=4_arrival=1s,mode=periodic32s_blocking=0_defpreempt=1,1420052706459400740,7199.7855,0.1225,-0.0528,0.0161,-0.0145,0.0033,-0.0054,-0.0067,-0.0233,4.0,7.0,-8.0,0.0,3.0,-16.3587,-3.5459,-8.0171,3.2232,-7.5302,1.0,1.0,0.0,0.0,0.0,1.0
nodes=16_prio=4_arrival=1s,mode=periodic32s_blocking=0_defpreempt=1,2219457405427907235,7199.8422,-0.113,-0.0551,-0.0891,-0.0435,-0.0067,-0.0043,-0.0066,-0.0611,64.0,-12.0,-3.0,5.0,54.0,-19.5762,-1.4751,9.8665,3.0529,-3.9004,,,,,,
nodes=16_prio=4_arrival=1s,mode=periodic32s_blocking=0_defpreempt=1,3848061858430934892,7199.8247,1.4525,2.0245,1.4467,-0.1987,-0.0065,1.5204,-0.0055,1.3098,208.0,1.0,-5.0,-10.0,194.0,120.1626,9.5909,3.8765,-5.9666,40.2912,3.0,2.0,0.0,1.0,0.0,2.0
nodes=16_prio=4_arrival=2s,mode=periodic32s_blocking=0_defpreempt=1,1420052706459400740,7199.0707,-0.0131,-0.0729,-0.0173,-0.0179,-0.0056,0.0014,0.0008,-0.0213,-21.0,-1.0,-2.0,-3.0,-27.0,39.0974,-14.4077,-22.7777,8.4533,6.296,1.0,1.0,0.0,0.0,0.0,1.0
