job_name,plugin_config,n_seed,T_end_s_mean,delta_cpu_run_util_mean,delta_mem_run_util_mean,delta_util_eff_run_mean,delta_R_p1_mean,delta_R_p2_mean,delta_R_p3_mean,delta_R_p4_mean,delta_R_total_mean,delta_D_p1_mean,delta_D_p2_mean,delta_D_p3_mean,delta_D_p4_mean,delta_D_total_mean,delta_latency_s_p1_mean,delta_latency_s_p2_mean,delta_latency_s_p3_mean,delta_latency_s_p4_mean,delta_latency_s_total_mean,solver_attempts_mean,solver_optimal_mean,solver_feasible_mean,solver_failed_mean,plan_not_applicable_mean,plan_activated_mean
nodes=16_prio=1_arrival=4s,mode=schedulingfailure_blocking=0_defpreempt=0,3,7198.8946,0.0126,0.0118,0.0188,-0.2499,0.0,0.0,0.0,-0.2499,-571.0,,,,-571.0,2.5461,,,,2.5461,232.0,117.0,27.0,88.0,2.0,142.0
nodes=16_prio=1_arrival=4s,mode=stablequeue2s_blocking=0_defpreempt=0,3,7199.4232,0.0195,0.006,0.0199,0.6168,0.0,0.0,0.0,0.6168,79.3333,,,,79.3333,-0.3513,,,,-0.3513,254.0,55.3333,1.0,197.6667,0.0,56.3333
nodes=16_prio=1_arrival=4s,mode=stablequeue2s_blocking=0_defpreempt=1,3,7199.6758,0.0191,0.0064,0.0197,0.6113,0.0,0.0,0.0,0.6113,68.6667,,,,68.6667,-0.3445,,,,-0.3445,249.3333,53.0,1.0,195.3333,0.0,54.0
nodes=16_prio=1_arrival=4s,mode=stablequeue2s_blocking=1_defpreempt=0,3,7199.3646,0.0207,0.0062,0.0211,0.6239,0.0,0.0,0.0,0.6239,46.3333,,,,46.3333,-0.2583,,,,-0.2583,244.0,55.3333,2.0,186.6667,0.0,57.3333
nodes=16_prio=1_arrival=4s,mode=stablequeue2s_blocking=1_defpreempt=1,3,7199.6084,0.0206,0.0066,0.0211,0.66,0.0,0.0,0.0,0.66,75.6667,,,,75.6667,-0.3037,,,,-0.3037,246.3333,60.0,2.0,184.3333,0.0,62.0
nodes=16_prio=1_arrival=8s,mode=periodic8s_blocking=0_defpreempt=0,3,7199.2006,0.021,0.0088,0.0211,0.8146,0.0,0.0,0.0,0.8146,17.0,,,,17.0,-0.426,,,,-0.426,43.0,25.0,2.6667,15.3333,0.0,27.6667
nodes=16_prio=1_arrival=8s,mode=periodic8s_blocking=0_defpreempt=1,3,7199.4697,0.0222,0.0089,0.0221,0.8624,0.0,0.0,0.0,0.8624,23.0,,,,23.0,-0.618,,,,-0.618,43.3333,27.6667,2.3333,13.3333,0.0,30.0
nodes=16_prio=1_arrival=8s,mode=periodic8s_blocking=1_defpreempt=0,3,7199.7456,0.0213,0.0079,0.0215,0.756,0.0,0.0,0.0,0.756,6.6667,,,,6.6667,-0.2204,,,,-0.2204,45.0,25.3333,2.3333,17.3333,0.0,27.6667
nodes=16_prio=1_arrival=8s,mode=periodic8s_blocking=1_defpreempt=1,3,7199.3863,0.0211,0.0078,0.0212,0.7845,0.0,0.0,0.0,0.7845,32.6667,,,,32.6667,-0.3729,,,,-0.3729,42.6667,25.3333,2.6667,14.6667,0.0,28.0
nodes=16_prio=1_arrival=8s,mode=schedulingfailure_blocking=0_defpreempt=0,3,7199.7292,0.0193,0.0068,0.0198,0.3057,0.0,0.0,0.0,0.3057,-83.6667,,,,-83.6667,1.641,,,,1.641,160.6667,87.0,15.0,58.6667,1.3333,100.6667
nodes=16_prio=1_arrival=8s,mode=stablequeue2s_blocking=0_defpreempt=0,3,7199.2747,0.0233,0.0101,0.0235,0.9496,0.0,0.0,0.0,0.9496,102.3333,,,,102.3333,-0.6311,,,,-0.6311,192.3333,50.0,1.6667,140.6667,0.0,51.6667
nodes=16_prio=1_arrival=8s,mode=stablequeue2s_blocking=0_defpreempt=1,3,7199.4976,0.0231,0.0101,0.0235,0.9118,0.0,0.0,0.0,0.9118,83.0,,,,83.0,-0.5714,,,,-0.5714,195.0,49.3333,2.0,143.6667,0.0,51.3333
nodes=16_prio=1_arrival=8s,mode=stablequeue2s_blocking=1_defpreempt=0,3,7199.5735,0.0232,0.0097,0.0233,0.9108,0.0,0.0,0.0,0.9108,99.0,,,,99.0,-0.6058,,,,-0.6058,205.6667,50.6667,0.6667,154.3333,0.0,51.3333
nodes=16_prio=1_arrival=8s,mode=stablequeue2s_blocking=1_defpreempt=1,3,7199.3799,0.0233,0.0107,0.0238,0.9847,0.0,0.0,0.0,0.9847,106.6667,,,,106.6667,-0.7764,,,,-0.7764,190.0,49.0,0.6667,140.3333,0.0,49.6667
nodes=16_prio=4_arrival=16s,mode=periodic8s_blocking=0_defpreempt=0,3,7199.4997,0.0123,0.0136,0.0171,1.1583,-0.2061,-0.2705,-0.1524,0.5292,-127.6667,-59.6667,-48.3333,-29.6667,-265.3333,3.6806,4.1764,6.9652,5.9117,5.1713,54.0,26.6667,2.6667,24.6667,0.0,29.3333
nodes=16_prio=4_arrival=16s,mode=periodic8s_blocking=0_defpreempt=1,3,7199.6016,0.0127,0.0118,0.015,0.6945,-0.0082,-0.0041,-0.0015,0.6807,113.0,-2.6667,-0.6667,-0.3333,109.3333,-0.9203,0.1244,0.0514,0.0582,-0.1903,74.0,28.0,4.0,42.0,0.0,32.0
nodes=16_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=0,3,7199.1815,0.0128,0.0139,0.0173,1.2244,-0.2066,-0.2827,-0.1366,0.5985,-128.0,-48.6667,-48.0,-26.0,-250.6667,2.1229,4.3039,7.4867,5.3184,4.6895,50.3333,23.3333,2.0,25.0,0.0,25.3333
nodes=16_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,3,7199.3829,0.0152,0.0145,0.018,0.8763,-0.0013,-0.003,-0.0007,0.8713,119.6667,-1.3333,-0.6667,0.0,117.6667,-2.0261,0.0264,0.0112,0.0305,-0.53,61.3333,29.6667,5.6667,26.0,0.0,35.3333
nodes=16_prio=4_arrival=16s,mode=schedulingfailure_blocking=0_defpreempt=0,3,7199.3981,0.0133,0.0151,0.0178,1.0625,-0.2178,-0.1972,-0.1479,0.4997,-33.6667,-68.0,-62.0,-33.3333,-197.0,5.6471,5.9989,5.3425,6.5114,5.7684,124.0,63.3333,7.3333,53.3333,0.3333,70.3333
