id,cpu_request,mem_request,inter_arrival_us,life_time_us,priority
clusterdata_2019_a:399084034152:1969,0.01153564453125,0.00399017333984375,1,102000000,0
clusterdata_2019_a:383061108422:2671,0.0081024169921875,0.002605438232421875,1,59000000,0
clusterdata_2019_a:380666697758:609,0.00405120849609375,0.028656005859375,1,1238000000,0
clusterdata_2019_a:383852367359:746,0.00405120849609375,0.00650787353515625,1,46270000000,0
clusterdata_2019_a:383354739260:44,0.021514892578125,0.00310516357421875,1,53000000,0
clusterdata_2019_a:399807611380:1,0.00519561767578125,0.003314971923828125,1,937000000,0
clusterdata_2019_a:382827743768:311,0.00704193115234375,0.0146484375,1,85000000,0
clusterdata_2019_a:381952971968:471,0.0081939697265625,0.003551483154296875,1,910000000,0
clusterdata_2019_a:383077535803:2456,0.0089874267578125,0.006256103515625,1,74000000,0
clusterdata_2019_a:385251066083:2444,0.0129547119140625,0.015625,0,25992000000,105
clusterdata_2019_a:383198859204:1615,0.0057220458984375,0.00650787353515625,1,63000000,0
clusterdata_2019_a:398893366284:252,0.029937744140625,0.021514892578125,1,4304000000,103
clusterdata_2019_a:396211974317:571,0.0111846923828125,0.00650787353515625,1,539000000,0
clusterdata_2019_a:385353467576:425,0.0079193115234375,0.00650787353515625,1,877977000000,0
clusterdata_2019_a:382737849448:30,0.0027313232421875,0.0037841796875,1,619000000,103
clusterdata_2019_a:381957465691:146,0.00405120849609375,0.00455474853515625,1,53934000000,0
clusterdata_2019_a:380162086697:689,0.01214599609375,0.00484466552734375,1,41000000,0
clusterdata_2019_a:387214703232:1744,0.003170013427734375,0.0091094970703125,1,4285000000,0
clusterdata_2019_a:380202872456:940,0.006866455078125,0.00650787353515625,1,521000000,0
clusterdata_2019_a:399306652279:1357,0.00748443603515625,0.00437164306640625,1,57000000,0
clusterdata_2019_a:382779506884:4439,0.03802490234375,0.0645751953125,1,5694000000,103
clusterdata_2019_a:377786150549:181,0.01812744140625,0.0098114013671875,1,568000000,119
clusterdata_2019_a:376438409443:24,0.0081939697265625,0.0012264251708984375,1,184000000,0
clusterdata_2019_a:378727661328:868,0.006072998046875,0.001575469970703125,1,21178000000,200
clusterdata_2019_a:398450240451:548,0.0080108642578125,0.00151824951171875,1,4626000000,105
clusterdata_2019_a:385230412586:157,0.003875732421875,0.00650787353515625,1,3113000000,0
clusterdata_2019_a:400161163588:1963,0.0186767578125,0.018218994140625,1,6507000000,0
clusterdata_2019_a:384929152830:683,0.008636474609375,0.00650787353515625,1,43000000,0
clusterdata_2019_a:385571101129:829,0.002025604248046875,0.0006361007690429688,1,316000000,103
clusterdata_2019_a:384907965562:0,0.002288818359375,0.00650787353515625,221177,179000000,0
clusterdata_2019_a:393535477093:677,0.0072174072265625,0.00650787353515625,1,264000000,0
clusterdata_2019_a:381630732239:54,0.005279541015625,0.00650787353515625,1,2918000000,0
clusterdata_2019_a:399430368814:90,0.00395965576171875,0.00650787353515625,1,1812000000,0
clusterdata_2019_a:377757806258:0,0.016387939453125,0.008392333984375,11,132000000,0
clusterdata_2019_a:375598184123:68,0.0112762451171875,0.00231170654296875,1,122000000,200
clusterdata_2019_a:379336912756:337,0.003696441650390625,0.0019512176513671875,1,263000000,0
clusterdata_2019_a:383391928992:5925,0.016204833984375,0.01385498046875,1,116000000,0
clusterdata_2019_a:378409082325:479,0.007659912109375,0.00650787353515625,1,373000000,0
clusterdata_2019_a:380766875424:430,0.0252685546875,0.0041961669921875,1,6615000000,0
clusterdata_2019_a:398622864796:8564,0.008453369140625,0.0041656494140625,0,28000000,105
clusterdata_2019_a:399784863832:1608,0.0027313232421875,0.003177642822265625,1,47000000,0
clusterdata_2019_a:384920404786:692,0.003875732421875,0.0013027191162109375,1,638000000,0
clusterdata_2019_a:381050528120:30,0.002552032470703125,0.00376129150390625,34896,245000000,103
clusterdata_2019_a:383322108455:75,0.00325775146484375,0.003177642822265625,1,1877000000,0
clusterdata_2019_a:379488310902:266,0.0007047653198242188,0.0017719268798828125,1,1366000000,0
clusterdata_2019_a:381244201191:191,0.002025604248046875,0.0093231201171875,0,281000000,107
clusterdata_2019_a:382904298733:733,0.00634002685546875,0.00650787353515625,1,59000000,0
