job_name,plugin_config,n_seed,T_end_s_mean,delta_cpu_run_util_mean_mean,delta_cpu_run_util_mean_std,delta_mem_run_util_mean_mean,delta_mem_run_util_mean_std,delta_cpu_req_util_mean_mean,delta_cpu_req_util_mean_std,delta_mem_req_util_mean_mean,delta_mem_req_util_mean_std,delta_util_eff_run_mean_mean,delta_util_eff_run_mean_std,delta_util_eff_req_mean_mean,delta_util_eff_req_mean_std,delta_R_p1_mean,delta_R_p1_std,delta_R_p2_mean,delta_R_p2_std,delta_R_p3_mean,delta_R_p3_std,delta_R_p4_mean,delta_R_p4_std,delta_R_total_mean,delta_R_total_std,delta_D_p1_mean,delta_D_p1_std,delta_D_p2_mean,delta_D_p2_std,delta_D_p3_mean,delta_D_p3_std,delta_D_p4_mean,delta_D_p4_std,delta_D_total_mean,delta_D_total_std,delta_latency_mean_s_mean,delta_latency_mean_s_std,delta_latency_mean_p1_s_mean,delta_latency_mean_p1_s_std,delta_latency_mean_p2_s_mean,delta_latency_mean_p2_s_std,delta_latency_mean_p3_s_mean,delta_latency_mean_p3_s_std,delta_latency_mean_p4_s_mean,delta_latency_mean_p4_s_std
nodes=16_prio=4_arrival=8s,mode=periodic8s_blocking=1_defpreempt=1,2,7199.4654,0.0052,0.0001,0.0125,0.001,-0.0002,0.0002,-0.0001,0.0002,0.0099,0.0039,-0.0001,0.0002,3814.1634,629.3172,-96.1185,23.0407,-55.9743,35.1787,-27.4176,21.5463,3634.6529,663.0013,185.0,14.1421,2.0,2.8284,-1.5,2.1213,-1.5,2.1213,184.0,12.7279,-0.0481,0.139,-0.306,0.3951,0.0722,0.0249,0.0547,0.0311,0.0328,0.0666
nodes=16_prio=4_arrival=8s,mode=stablequeue2s_blocking=0_defpreempt=0,2,7199.2899,0.0062,0.0031,0.02,0.0032,0.0,0.0003,0.0001,0.0002,0.0146,0.0035,0.0001,0.0003,9748.7838,1336.4089,-2755.5734,427.4513,-2318.2768,242.0445,-2163.949,700.9892,2510.9846,450.0128,-180.0,5.6569,-83.5,19.0919,-82.0,18.3848,-53.5,2.1213,-399.0,45.2548,4.3976,0.4477,3.8608,0.5137,4.6258,1.6943,3.9436,0.6963,5.6788,1.8313
nodes=16_prio=4_arrival=8s,mode=stablequeue2s_blocking=0_defpreempt=1,2,7199.4899,0.0074,0.0014,0.0155,0.0002,-0.0001,0.0001,-0.0002,0.0,0.0129,0.0031,-0.0002,0.0,4853.8083,157.7974,-33.7049,0.4926,-37.4063,31.7042,-31.0188,8.6745,4751.6783,198.6687,269.5,9.1924,2.0,1.4142,0.0,0.0,0.5,0.7071,272.0,9.8995,-0.1304,0.1455,-0.4821,0.5735,-0.0091,0.0263,0.0287,0.0022,0.0031,0.031
nodes=16_prio=4_arrival=8s,mode=stablequeue2s_blocking=1_defpreempt=0,2,7198.4704,0.0063,0.0032,0.0192,0.0031,0.0002,0.0002,0.0002,0.0002,0.0142,0.003,0.0002,0.0002,9551.4583,1835.3883,-2586.2409,236.9116,-2229.8018,109.6472,-2165.9143,1184.5794,2569.5013,523.5445,-156.5,30.4056,-86.0,12.7279,-82.0,15.5563,-50.5,3.5355,-375.0,55.1543,4.2477,0.7081,3.5326,0.353,4.3332,0.5003,3.5533,0.1535,6.3916,4.1997
nodes=16_prio=4_arrival=8s,mode=stablequeue2s_blocking=1_defpreempt=1,2,7199.5462,0.0074,0.0025,0.0159,0.003,-0.0003,0.0003,-0.0002,0.0003,0.0124,0.0012,-0.0002,0.0003,5078.4216,790.5056,-81.7058,34.202,-64.0512,88.8186,-43.5278,45.6462,4889.1368,621.8388,265.0,1.4142,2.0,2.8284,0.0,0.0,0.0,0.0,267.0,4.2426,-0.0334,0.3068,-0.2265,1.0321,0.0368,0.0554,0.0408,0.0114,0.0395,0.0452
nodes=32_prio=1_arrival=16s,mode=periodic8s_blocking=0_defpreempt=0,2,7199.7629,0.0164,0.0074,0.0105,0.0048,-0.0001,0.0001,-0.0001,0.0001,0.0184,0.007,-0.0001,0.0001,11316.8821,1514.6993,0.0,0.0,0.0,0.0,0.0,0.0,11316.8821,1514.6993,58.5,4.9497,0.0,0.0,0.0,0.0,0.0,0.0,58.5,4.9497,-9.8837,2.7043,-9.8837,2.7043,,,,,,
nodes=32_prio=1_arrival=16s,mode=periodic8s_blocking=0_defpreempt=1,2,7199.4895,0.0183,0.0087,0.0112,0.0034,-0.0001,0.0001,-0.0001,0.0001,0.0202,0.0083,-0.0001,0.0001,12414.804,2727.2317,0.0,0.0,0.0,0.0,0.0,0.0,12414.804,2727.2317,56.0,1.4142,0.0,0.0,0.0,0.0,0.0,0.0,56.0,1.4142,-9.6554,3.4851,-9.6554,3.4851,,,,,,
nodes=32_prio=1_arrival=16s,mode=periodic8s_blocking=1_defpreempt=0,2,7199.5703,0.0172,0.0088,0.0106,0.0043,-0.0,0.0,-0.0,0.0,0.0193,0.0082,-0.0,0.0,11978.6532,2311.2909,0.0,0.0,0.0,0.0,0.0,0.0,11978.6532,2311.2909,55.5,12.0208,0.0,0.0,0.0,0.0,0.0,0.0,55.5,12.0208,-9.9466,2.8997,-9.9466,2.8997,,,,,,
nodes=32_prio=1_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,2,7199.21,0.0182,0.0083,0.0112,0.0047,-0.0,0.0001,-0.0,0.0001,0.0202,0.0079,-0.0,0.0001,12575.6046,2082.3457,0.0,0.0,0.0,0.0,0.0,0.0,12575.6046,2082.3457,53.5,10.6066,0.0,0.0,0.0,0.0,0.0,0.0,53.5,10.6066,-9.4226,3.209,-9.4226,3.209,,,,,,
nodes=32_prio=1_arrival=16s,mode=stablequeue2s_blocking=0_defpreempt=0,2,7199.4397,0.0165,0.0084,0.0106,0.0044,-0.0001,0.0001,-0.0001,0.0001,0.0186,0.0077,-0.0001,0.0001,11416.7471,2178.5692,0.0,0.0,0.0,0.0,0.0,0.0,11416.7471,2178.5692,62.5,2.1213,0.0,0.0,0.0,0.0,0.0,0.0,62.5,2.1213,-9.3147,3.1425,-9.3147,3.1425,,,,,,
nodes=32_prio=1_arrival=16s,mode=stablequeue2s_blocking=0_defpreempt=1,2,7199.7216,0.0172,0.0074,0.0111,0.0043,-0.0001,0.0001,-0.0001,0.0001,0.019,0.0073,-0.0001,0.0001,11948.7295,1634.7715,0.0,0.0,0.0,0.0,0.0,0.0,11948.7295,1634.7715,50.0,5.6569,0.0,0.0,0.0,0.0,0.0,0.0,50.0,5.6569,-10.6451,3.5037,-10.6451,3.5037,,,,,,
nodes=32_prio=1_arrival=16s,mode=stablequeue2s_blocking=1_defpreempt=0,2,7199.4688,0.0181,0.0073,0.0114,0.0049,-0.0001,0.0001,-0.0,0.0001,0.0201,0.007,-0.0001,0.0001,12456.7371,1107.8053,0.0,0.0,0.0,0.0,0.0,0.0,12456.7371,1107.8053,67.5,14.8492,0.0,0.0,0.0,0.0,0.0,0.0,67.5,14.8492,-9.6708,2.2312,-9.6708,2.2312,,,,,,
nodes=32_prio=1_arrival=16s,mode=stablequeue2s_blocking=1_defpreempt=1,2,7199.6914,0.0178,0.0095,0.0112,0.0037,-0.0001,0.0,-0.0001,0.0,0.0199,0.0092,-0.0001,0.0,12413.4365,3319.944,0.0,0.0,0.0,0.0,0.0,0.0,12413.4365,3319.944,67.5,4.9497,0.0,0.0,0.0,0.0,0.0,0.0,67.5,4.9497,-10.1337,3.718,-10.1337,3.718,,,,,,
nodes=32_prio=1_arrival=8s,mode=periodic8s_blocking=0_defpreempt=0,2,7199.7111,0.0144,0.0059,0.0075,0.0018,-0.0001,0.0,-0.0001,0.0,0.015,0.0066,-0.0001,0.0,8620.3076,2045.1516,0.0,0.0,0.0,0.0,0.0,0.0,8620.3076,2045.1516,79.5,31.8198,0.0,0.0,0.0,0.0,0.0,0.0,79.5,31.8198,-2.0931,0.3201,-2.0931,0.3201,,,,,,
nodes=32_prio=1_arrival=8s,mode=periodic8s_blocking=0_defpreempt=1,2,7198.8955,0.0129,0.0063,0.0055,0.001,-0.0001,0.0,-0.0001,0.0001,0.0135,0.007,-0.0001,0.0,7656.7213,2597.3995,0.0,0.0,0.0,0.0,0.0,0.0,7656.7213,2597.3995,80.5,6.364,0.0,0.0,0.0,0.0,0.0,0.0,80.5,6.364,-1.6961,0.1928,-1.6961,0.1928,,,,,,
nodes=32_prio=1_arrival=8s,mode=periodic8s_blocking=1_defpreempt=0,2,7199.5828,0.0135,0.0057,0.0055,0.0006,-0.0001,0.0,-0.0,0.0,0.014,0.0064,-0.0001,0.0,8222.5918,2177.6877,0.0,0.0,0.0,0.0,0.0,0.0,8222.5918,2177.6877,87.0,9.8995,0.0,0.0,0.0,0.0,0.0,0.0,87.0,9.8995,-2.0084,1.1732,-2.0084,1.1732,,,,,,
nodes=32_prio=1_arrival=8s,mode=periodic8s_blocking=1_defpreempt=1,2,7199.1154,0.013,0.0032,0.0061,0.0023,-0.0001,0.0,-0.0,0.0,0.0136,0.0038,-0.0,0.0,7953.6972,86.9622,0.0,0.0,0.0,0.0,0.0,0.0,7953.6972,86.9622,82.0,5.6569,0.0,0.0,0.0,0.0,0.0,0.0,82.0,5.6569,-1.6465,0.3895,-1.6465,0.3895,,,,,,
nodes=32_prio=1_arrival=8s,mode=stablequeue2s_blocking=0_defpreempt=0,2,7199.4311,0.0136,0.0038,0.0059,0.0026,-0.0001,0.0,-0.0001,0.0,0.0143,0.0045,-0.0001,0.0,8123.5867,66.7127,0.0,0.0,0.0,0.0,0.0,0.0,8123.5867,66.7127,88.5,31.8198,0.0,0.0,0.0,0.0,0.0,0.0,88.5,31.8198,-1.7546,0.2371,-1.7546,0.2371,,,,,,
nodes=32_prio=1_arrival=8s,mode=stablequeue2s_blocking=0_defpreempt=1,2,7199.5709,0.014,0.0071,0.007,0.0009,-0.0002,0.0,-0.0001,0.0,0.0145,0.008,-0.0002,0.0,8398.0082,2561.8485,0.0,0.0,0.0,0.0,0.0,0.0,8398.0082,2561.8485,93.5,23.3345,0.0,0.0,0.0,0.0,0.0,0.0,93.5,23.3345,-1.6905,0.7297,-1.6905,0.7297,,,,,,
nodes=32_prio=1_arrival=8s,mode=stablequeue2s_blocking=1_defpreempt=0,2,7199.4875,0.013,0.0028,0.0064,0.0026,-0.0002,0.0001,-0.0001,0.0,0.0136,0.0034,-0.0002,0.0001,8242.8825,869.5038,0.0,0.0,0.0,0.0,0.0,0.0,8242.8825,869.5038,98.0,24.0416,0.0,0.0,0.0,0.0,0.0,0.0,98.0,24.0416,-1.4515,1.231,-1.4515,1.231,,,,,,
nodes=32_prio=1_arrival=8s,mode=stablequeue2s_blocking=1_defpreempt=1,2,7199.6555,0.0146,0.0047,0.0064,0.0003,-0.0001,0.0,-0.0001,0.0,0.0152,0.0056,-0.0001,0.0,9101.9093,1681.7628,0.0,0.0,0.0,0.0,0.0,0.0,9101.9093,1681.7628,120.5,30.4056,0.0,0.0,0.0,0.0,0.0,0.0,120.5,30.4056,-2.6358,1.2527,-2.6358,1.2527,,,,,,
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=0_defpreempt=0,2,7199.5519,0.0062,0.0009,0.0109,0.0049,0.0,0.0,0.0,0.0,0.01,0.0062,0.0,0.0,11291.4931,1503.0944,-1441.4011,778.8439,-2100.1198,632.4356,-1777.1521,1608.6853,5972.8201,1516.8705,-59.5,0.7071,-24.5,4.9497,-26.0,4.2426,-19.5,2.1213,-129.5,6.364,4.2878,2.7657,0.5802,1.5253,5.1001,3.9106,4.8036,2.829,9.0134,9.8377
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=0_defpreempt=1,2,7199.5334,0.0074,0.0016,0.0105,0.0047,-0.0,0.0,0.0,0.0,0.01,0.0054,-0.0,0.0,7438.0386,1990.7986,-8.665,0.9374,-7.5354,18.1246,-10.2812,19.6572,7411.5569,1988.3286,89.5,9.1924,0.0,0.0,0.0,0.0,0.5,0.7071,90.0,8.4853,-0.1175,0.7639,-0.2773,2.4179,-0.0151,0.0278,0.0442,0.0052,0.0519,0.021
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=0,2,7199.4468,0.0056,0.0014,0.0098,0.0038,0.0001,0.0,0.0001,0.0001,0.0085,0.0056,0.0001,0.0,11025.1754,1550.9627,-1554.857,376.5847,-1881.2541,466.7843,-2178.0571,2083.8668,5411.0071,1376.2731,-61.0,29.6985,-25.5,7.7782,-24.0,1.4142,-20.0,1.4142,-130.5,34.6482,5.1351,3.144,1.5326,1.5971,5.5452,1.3502,4.3758,1.2273,12.1862,13.5873
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,2,7199.4487,0.0073,0.0001,0.0108,0.0028,0.0,0.0,0.0,0.0,0.0101,0.0039,0.0,0.0,7586.3725,39.9451,-17.5403,18.5657,-41.9791,8.0955,-9.527,4.0411,7517.3261,17.3249,81.0,38.1838,0.0,0.0,-1.0,1.4142,0.0,0.0,80.0,36.7696,-0.569,0.7782,-1.8629,2.4417,0.0563,0.0988,0.0719,0.0205,0.0601,0.0285
nodes=32_prio=4_arrival=16s,mode=stablequeue2s_blocking=0_defpreempt=0,2,7199.5906,0.0079,0.001,0.012,0.0044,0.0,0.0,0.0,0.0001,0.0111,0.0056,-0.0,0.0001,11759.2183,1210.2632,-1095.469,432.0319,-1427.9043,523.304,-1500.2003,1234.6036,7735.6447,979.6763,-33.5,20.5061,-19.0,2.8284,-22.5,4.9497,-15.0,7.0711,-90.0,5.6569,3.1198,3.5635,-0.293,3.8282,3.9564,2.8277,3.1551,0.0332,8.087,7.7056
nodes=32_prio=4_arrival=16s,mode=stablequeue2s_blocking=0_defpreempt=1,2,7199.5446,0.0083,0.0007,0.0123,0.0025,-0.0,0.0,-0.0,0.0,0.011,0.0044,-0.0,0.0,8638.613,954.535,-29.3118,26.8872,-29.4402,0.9985,-15.1384,17.5718,8564.7225,909.0775,101.5,43.1335,0.0,0.0,0.0,0.0,-0.5,0.7071,101.0,42.4264,-0.8195,0.7899,-2.5949,2.1839,0.0049,0.0315,0.0321,0.0183,0.0364,0.0428
